AttributeID,AttributeDesc,Industry
1,cpi_food_non-alcoholic_beverages,
2,cpi_alcoholic_beverages_tobacco,
3,cpi_clothing_footwear,
4,cpi_housing_water_electricity_gas_other_fuels,
5,cpi_furnishings_household_equipment_routine_household_maintenance,
6,cpi_health,
7,cpi_transport,
8,cpi_information_communication,
9,cpi_recreation_sport_culture,
10,cpi_education_services,
11,cpi_restaurants_accommodation_services,
12,cpi_financial_services,
13,cpi_personal_care_miscellaneous_goods_services,
14,GRDP At Constant 2018 Prices,
15,GRDP At Current Prices,
16,Adasen_Lang_Percent_Share,
17,Agta_Lang_Percent_Share,
18,Agta-Dumagat_Lang_Percent_Share,
19,Agusan Manobo_Lang_Percent_Share,
20,Agutaynen_Lang_Percent_Share,
21,Akeanon_Lang_Percent_Share,
22,Alangan_Lang_Percent_Share,
23,Ata_Lang_Percent_Share,
24,Ata-Manobo_Lang_Percent_Share,
25,Ayangan Ifugao_Lang_Percent_Share,
26,Ayta language group_Lang_Percent_Share,
27,Bagobo/Tagabawa_Lang_Percent_Share,
28,Balangao_Lang_Percent_Share,
29,Baliwon/Ga'dang_Lang_Percent_Share,
30,Banao_Lang_Percent_Share,
31,Bantoanon_Lang_Percent_Share,
32,Belwang (N.Bontok dialect)_Lang_Percent_Share,
33,Bikol_Lang_Percent_Share,
34,Binongan_Lang_Percent_Share,
35,Binukid_Lang_Percent_Share,
36,Bisaya/Binisaya_Lang_Percent_Share,
37,B'laan/Blaan language group_Lang_Percent_Share,
38,Bontok_Lang_Percent_Share,
39,Bugkalot/Ilongot_Lang_Percent_Share,
40,Buhid_Lang_Percent_Share,
41,Cagayanen_Lang_Percent_Share,
42,Capizeño_Lang_Percent_Share,
43,Cebuano_Lang_Percent_Share,
44,Chavacano_Lang_Percent_Share,
45,Cuyonon/Cuyonen_Lang_Percent_Share,
46,Davaweño_Lang_Percent_Share,
47,Dibabawon_Lang_Percent_Share,
48,Dumagat/Remontado_Lang_Percent_Share,
49,English_Lang_Percent_Share,
50,Gaddang_Lang_Percent_Share,
51,Giangan_Lang_Percent_Share,
52,Hanunuo_Lang_Percent_Share,
53,Higaonon_Lang_Percent_Share,
54,Hiligaynon Ilonggo_Lang_Percent_Share,
55,Ibaloi/Ibaloy_Lang_Percent_Share,
56,Ibanag_Lang_Percent_Share,
57,Ibatan_Lang_Percent_Share,
58,Ilianen Manobo_Lang_Percent_Share,
59,Ilocano_Lang_Percent_Share,
60,Iranun_Lang_Percent_Share,
61,Iraya_Lang_Percent_Share,
62,Isinai_Lang_Percent_Share,
63,Isnag_Lang_Percent_Share,
64,Itawis_Lang_Percent_Share,
65,Ivatan_Lang_Percent_Share,
66,Iwak/Iowak/Owak/I-wak_Lang_Percent_Share,
67,Jama Mapun_Lang_Percent_Share,
68,Kalagan_Lang_Percent_Share,
69,Kalanguya_Lang_Percent_Share,
70,Kalibugan/Kolibugan_Lang_Percent_Share,
71,Kalinga language group_Lang_Percent_Share,
72,Kamiguin_Lang_Percent_Share,
73,Kankanaey_Lang_Percent_Share,
74,Kapampangan_Lang_Percent_Share,
75,Karao_Lang_Percent_Share,
76,Karay-a_Lang_Percent_Share,
77,Kirenteken_Lang_Percent_Share,
78,Mabaka_Lang_Percent_Share,
79,Maeng_Lang_Percent_Share,
80,Maguindanao_Lang_Percent_Share,
81,Majokayong_Lang_Percent_Share,
82,Mamanwa_Lang_Percent_Share,
83,Mandaya_Lang_Percent_Share,
84,Manobo_Lang_Percent_Share,
85,Manobo-Cotabato_Lang_Percent_Share,
86,Mansaka_Lang_Percent_Share,
87,Maranao_Lang_Percent_Share,
88,Masadiit_Lang_Percent_Share,
89,Masbateño/Masbatenon_Lang_Percent_Share,
90,Matigsalog/Matigsalug_Lang_Percent_Share,
91,Molbog_Lang_Percent_Share,
92,Muyadan_Lang_Percent_Share,
93,Obo Manobo_Lang_Percent_Share,
94,Unspecified Sama language_Lang_Percent_Share,
95,Palawani_Lang_Percent_Share,
96,Palawano language group_Lang_Percent_Share,
