pcode,name,hierarchy,parent_pcode
PH104210051,50th District (Pob.),ASM4,PH104210000
PH082622001,A-et,ASM4,PH082622000
PH160205003,A. Beltran (Camalig),ASM4,PH160205000
PH034915001,A. Bonifacio,ASM4,PH034915000
PH056203001,A. Bonifacio,ASM4,PH056203000
PH083735001,A. Bonifacio,ASM4,PH083735000
PH141102125,A. Bonifacio-Caguioa-Rimando (ABCR),ASM4,PH141102000
PH042107001,A. Dalusag,ASM4,PH042107000
PH045618001,A. Mabini,ASM4,PH045618000
PH112315001,A. O. Floirendo,ASM4,PH112315000
PH034926001,A. Pascual,ASM4,PH034926000
PH030805001,A. Rivera (Pob.),ASM4,PH030805000
PH012818001,Ab-abut,ASM4,PH012818000
PH143201001,Ababa-an,ASM4,PH143201000
PH012804001,Abaca,ASM4,PH012804000
PH025008001,Abaca,ASM4,PH025008000
PH054105001,Abaca,ASM4,PH054105000
PH060607001,Abaca,ASM4,PH060607000
PH063039001,Abaca,ASM4,PH063039000
PH071231001,Abaca,ASM4,PH071231000
PH083717001,Abaca,ASM4,PH083717000
PH064507001,Abaca,ASM4,PH064507000
PH012929001,Abaccan,ASM4,PH012929000
PH071240001,Abachanan,ASM4,PH071240000
PH056203002,Abad Santos,ASM4,PH056203000
PH071231002,Abad Santos,ASM4,PH071231000
PH166721001,Abad Santos,ASM4,PH166721000
PH103502001,Abaga,ASM4,PH103502000
PH103509001,Abaga,ASM4,PH103509000
PH103515001,Abaga,ASM4,PH103515000
PH124705001,Abaga,ASM4,PH124705000
PH153603001,Abaga,ASM4,PH153603000
PH153613001,Abaga,ASM4,PH153613000
PH021510001,Abagao,ASM4,PH021510000
PH021516001,Abagao,ASM4,PH021516000
PH175302007,Abagat (Pob.),ASM4,PH175302000
PH036906001,Abagon,ASM4,PH036906000
PH141102129,Abanao-Zandueta-Kayong-Chugum-Otek (AZKCO),ASM4,PH141102000
PH045623001,Abang,ASM4,PH045623000
PH140103001,Abang,ASM4,PH140103000
PH063002001,Abang-abang,ASM4,PH063002000
PH031411001,Abangan Norte,ASM4,PH031411000
PH031411002,Abangan Sur,ASM4,PH031411000
PH061917001,Abangay,ASM4,PH061917000
PH063016001,Abangay,ASM4,PH063016000
PH063023001,Abangay,ASM4,PH063023000
PH063037001,Abangay,ASM4,PH063037000
PH083706001,Abango,ASM4,PH083706000
PH083713001,Abanilla,ASM4,PH083713000
PH015532001,Abanon,ASM4,PH015532000
PH021518001,Abanqueruan,ASM4,PH021518000
PH074616001,Abante,ASM4,PH074616000
PH140106001,Abaquid,ASM4,PH140106000
PH034926003,Abar 2nd,ASM4,PH034926000
PH034926002,Abar Ist,ASM4,PH034926000
PH021526001,Abariongan Ruar,ASM4,PH021526000
PH021526002,Abariongan Uneg,ASM4,PH021526000
PH175318001,Abaroan,ASM4,PH175318000
PH056213001,Abas,ASM4,PH056213000
PH063031001,Abat,ASM4,PH063031000
PH141105001,Abatan,ASM4,PH141105000
PH142702001,Abatan,ASM4,PH142702000
