Geolocation,Commodity Description,2018,2019,2020,2021,2022,2023,ADM2_PCODE
National Capital Region (NCR),cpi_food_non-alcoholic_beverages,100.0,102.433333333333,106.008333333333,109.608333333333,115.575,..,PH133900000
National Capital Region (NCR),cpi_food_non-alcoholic_beverages,100.0,102.433333333333,106.008333333333,109.608333333333,115.575,..,PH137400000
National Capital Region (NCR),cpi_food_non-alcoholic_beverages,100.0,102.433333333333,106.008333333333,109.608333333333,115.575,..,PH137500000
National Capital Region (NCR),cpi_food_non-alcoholic_beverages,100.0,102.433333333333,106.008333333333,109.608333333333,115.575,..,PH137600000
National Capital Region (NCR),cpi_alcoholic_beverages_tobacco,100.0,105.341666666667,115.216666666667,124.85,132.858333333333,..,PH133900000
National Capital Region (NCR),cpi_alcoholic_beverages_tobacco,100.0,105.341666666667,115.216666666667,124.85,132.858333333333,..,PH137400000
National Capital Region (NCR),cpi_alcoholic_beverages_tobacco,100.0,105.341666666667,115.216666666667,124.85,132.858333333333,..,PH137500000
National Capital Region (NCR),cpi_alcoholic_beverages_tobacco,100.0,105.341666666667,115.216666666667,124.85,132.858333333333,..,PH137600000
National Capital Region (NCR),cpi_clothing_footwear,100.0,101.783333333333,102.891666666667,103.741666666667,105.491666666667,..,PH133900000
National Capital Region (NCR),cpi_clothing_footwear,100.0,101.783333333333,102.891666666667,103.741666666667,105.491666666667,..,PH137400000
National Capital Region (NCR),cpi_clothing_footwear,100.0,101.783333333333,102.891666666667,103.741666666667,105.491666666667,..,PH137500000
National Capital Region (NCR),cpi_clothing_footwear,100.0,101.783333333333,102.891666666667,103.741666666667,105.491666666667,..,PH137600000
National Capital Region (NCR),cpi_housing_water_electricity_gas_other_fuels,100.0,102.175,101.391666666667,103.308333333333,108.041666666667,..,PH133900000
National Capital Region (NCR),cpi_housing_water_electricity_gas_other_fuels,100.0,102.175,101.391666666667,103.308333333333,108.041666666667,..,PH137400000
