ADM2_PCODE,Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
PH010000000,GRDP At Constant 2018 Prices,183940549.33333334,188633854.33333334,193458711.33333334,201053697.0,213245379.66666666,220742945.33333334,234828095.33333334,250247727.0,257327310.33333334,263670286.66666666,278962063.6666667,288779729.3333333,310175778.6666667,334084738.0,358593325.6666667,380358777.3333333,404312048.6666667,426576656.6666667,450695514.0,479585010.6666667,443093427.3333333,465478735.3333333,501271320.0
PH010000000,GRDP At Current Prices,95465041.66666667,102161965.33333333,108371045.33333333,114616335.33333333,130926672.33333333,143411288.33333334,160589764.66666666,176937847.33333334,201118934.66666666,213806026.0,233529981.66666666,252574950.33333334,276036703.3333333,305174094.3333333,337124295.6666667,351142269.0,378880519.6666667,410385233.3333333,450695514.0,476260278.6666667,453356739.0,490745203.0,558505256.3333334
PH030000000,GRDP At Constant 2018 Prices,707245644.0,749289527.0,791683392.0,826169061.0,852296755.0,885593565.0,927301530.0,981902705.0,1032623864.0,1039474095.0,1143777786.0,1233431610.0,1336963348.0,1417025690.0,1526621058.0,1619134911.0,1747565400.0,1929193858.0,2062393875.0,2183779631.0,1881277315.0,2021186175.0,2185061752.0
PH030000000,GRDP At Current Prices,368786804.0,406500228.0,452337803.0,494424474.0,548718978.0,610192972.0,668848239.0,721803908.0,832147448.0,854442889.0,979287700.0,1096258667.0,1206580595.0,1306617621.0,1461916690.0,1511232438.0,1640708336.0,1860323671.0,2062393875.0,2184815143.0,1864111182.0,2062335867.0,2367265679.0
PH040000000,GRDP At Constant 2018 Prices,1050505077.0,1068135114.0,1120500727.0,1179350176.0,1244396888.0,1310160075.0,1369674210.0,1446188225.0,1497994676.0,1486472826.0,1638482343.0,1676719329.0,1809708699.0,1942476533.0,2054936917.0,2196313576.0,2346818115.0,2527658901.0,2706994745.0,2831599919.0,2534444265.0,2728935837.0,2942981189.0
PH040000000,GRDP At Current Prices,601691426.0,671228264.0,713061159.0,788436127.0,881529587.0,987614867.0,1093698856.0,1194749373.0,1286125893.0,1283795207.0,1486403920.0,1582459854.0,1721867470.0,1847878662.0,2006907506.0,2076801161.0,2206254090.0,2423069480.0,2706994745.0,2865792547.0,2565120461.0,2785990792.0,3140807481.0
PH050000000,GRDP At Constant 2018 Prices,294150361.6666667,304144067.0,312155031.3333333,328195609.6666667,350657903.3333333,371677367.0,389184879.0,418211127.0,439171903.3333333,460055876.6666667,497228964.6666667,527462916.6666667,573265123.3333334,613885737.6666666,653111780.6666666,701983239.0,750168383.6666666,803968243.3333334,854356121.3333334,910988177.3333334,826017414.3333334,870084999.6666666,942018860.3333334
PH050000000,GRDP At Current Prices,159692547.33333334,172297076.33333334,185559199.0,197536574.0,222242219.66666666,246751221.33333334,270875588.3333333,300613638.6666667,340399380.6666667,365380343.6666667,406257307.0,445515954.6666667,500024133.0,548409424.6666666,604042378.6666666,650758744.0,709936440.6666666,774840166.0,854356121.3333334,916870265.0,845920174.0,913137414.6666666,1061983856.3333334
PH080000000,GRDP At Constant 2018 Prices,197055277.0,201720341.0,207527497.0,219236477.0,231739076.0,245209038.0,261794426.0,270150926.0,283219881.0,294361211.0,311990058.0,320330763.0,312295545.0,331113701.0,331605886.0,352680877.0,402993768.0,415257479.0,444384029.0,469292504.0,434767718.0,461066832.0,492339714.0
PH080000000,GRDP At Current Prices,103764213.0,111662287.0,118558368.0,126148913.0,147430426.0,164052811.0,183249360.0,187305762.0,225450370.0,241850136.0,254164654.0,272677861.0,265041353.0,292195740.0,305697115.0,324929357.0,376587299.0,397386688.0,444384029.0,455533643.0,414265871.0,450146977.0,512903347.0
PH100000000,GRDP At Constant 2018 Prices,203321912.5,211072958.75,227884740.5,242678655.25,259225483.75,270019943.0,286064948.0,305128649.75,318901246.5,329739722.5,350321226.25,368428353.5,396933321.0,424869911.5,459997196.5,488345441.5,524864859.25,563189570.25,601854395.75,636140290.75,597227077.25,633302473.75,679219096.0
PH100000000,GRDP At Current Prices,104522563.5,112607335.75,126966190.25,140096125.25,160569710.5,173957305.5,191763896.5,216199861.0,245270987.0,262719473.25,298489241.75,326865986.25,349613881.25,381105101.0,425491457.0,450465098.25,496675151.75,544913194.75,601854395.75,646415128.0,627733059.5,687944349.5,776846103.25
