Geolocation,Attribute,2019,ADM1_PCODE
Autonomous Region in Muslim Mindanao,Change  in Inventories,689,PH150000000
Autonomous Region in Muslim Mindanao,Compensation,12081,PH150000000
Autonomous Region in Muslim Mindanao,Gross Additions  to Tangible Fixed Assets,8417,PH150000000
Autonomous Region in Muslim Mindanao,Number of Establishments,4,PH150000000
Autonomous Region in Muslim Mindanao,Other Expense,20960,PH150000000
Autonomous Region in Muslim Mindanao,Paid Employees,131,PH150000000
Autonomous Region in Muslim Mindanao,Subsidies,626,PH150000000
Autonomous Region in Muslim Mindanao,Total  Expense,33040,PH150000000
Autonomous Region in Muslim Mindanao,Total Employment,134,PH150000000
Autonomous Region in Muslim Mindanao,Total Revenue,37424,PH150000000
Autonomous Region in Muslim Mindanao,Value Added,19455,PH150000000
Bicol Region,Change  in Inventories,-3543,PH050000000
Bicol Region,Compensation,415815,PH050000000
Bicol Region,Gross Additions  to Tangible Fixed Assets,482248,PH050000000
Bicol Region,Number of Establishments,62,PH050000000
Bicol Region,Other Expense,1971351,PH050000000
Bicol Region,Paid Employees,2870,PH050000000
Bicol Region,Total  Expense,2387166,PH050000000
Bicol Region,Total Employment,3022,PH050000000
Bicol Region,Total Revenue,2563143,PH050000000
Bicol Region,Value Added,882841,PH050000000
Bicol Region,Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors,13,PH050000000
CALABARZON,Change  in Inventories,18261,PH040000000
CALABARZON,Compensation,4029053,PH040000000
CALABARZON,Gross Additions  to Tangible Fixed Assets,716852,PH040000000
CALABARZON,Number of Establishments,271,PH040000000
CALABARZON,Other Expense,30227339,PH040000000
CALABARZON,Paid Employees,19468,PH040000000
CALABARZON,Sales from E-Commerce Transactions,67886,PH040000000
CALABARZON,Subsidies,c,PH040000000
CALABARZON,Total  Expense,34256392,PH040000000
CALABARZON,Total Employment,19641,PH040000000
CALABARZON,Total Revenue,44123067,PH040000000
CALABARZON,Value Added,17248569,PH040000000
CALABARZON,Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors,3359,PH040000000
Cagayan Valley,Change  in Inventories,3320,PH020000000
Cagayan Valley,Compensation,74742,PH020000000
Cagayan Valley,Gross Additions  to Tangible Fixed Assets,41540,PH020000000
Cagayan Valley,Number of Establishments,18,PH020000000
Cagayan Valley,Other Expense,282124,PH020000000
Cagayan Valley,Paid Employees,510,PH020000000
Cagayan Valley,Total  Expense,356866,PH020000000
Cagayan Valley,Total Employment,559,PH020000000
Cagayan Valley,Total Revenue,420676,PH020000000
Cagayan Valley,Value Added,181248,PH020000000
Caraga,Change  in Inventories,-3332,PH160000000
Caraga,Compensation,69838,PH160000000
