Type of Wages,Type of Farm Workers,Geolocation,Gender,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,ADM1_CODE
Nominal Wage Rate,Coconut Workers,Autonomous Region in Muslim Mindanao (ARMM),Female,,,,,109.39,96.86,101.41,102.33,109.19,136.75,134.33,145.72,158.54,166.38,,160.0,178.16,176.51,178.6,,,,200.0,200.0,286.89,,PH150000000
Nominal Wage Rate,Coconut Workers,Autonomous Region in Muslim Mindanao (ARMM),Male,,,,105.21,105.82,113.35,127.12,129.74,155.93,156.04,159.96,162.82,166.01,167.85,175.59,175.7,178.33,178.4,188.51,202.18,202.34,218.71,224.87,245.2,342.48,349.0,PH150000000
Nominal Wage Rate,Coconut Workers,Cordillera Administrative Region (CAR),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH140000000
Nominal Wage Rate,Coconut Workers,Cordillera Administrative Region (CAR),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH140000000
Nominal Wage Rate,Coconut Workers,MIMAROPA Region,Female,,,,,,,,,125.22,134.48,149.71,145.39,156.26,175.13,181.36,182.41,203.98,200.34,205.22,225.0,227.85,230.32,233.65,227.9,250.76,412.1,PH170000000
Nominal Wage Rate,Coconut Workers,MIMAROPA Region,Male,,,,,,,,,146.47,150.12,155.43,167.75,171.49,179.75,192.52,203.82,208.39,208.73,221.98,244.44,256.93,258.45,260.39,289.14,308.95,416.62,PH170000000
Nominal Wage Rate,Coconut Workers,Region I (Ilocos Region),Female,90.8,94.35,,100.85,,,100.0,,,,,,,,,,,,,,,,,,,,PH010000000
Nominal Wage Rate,Coconut Workers,Region I (Ilocos Region),Male,100.86,105.94,116.54,124.0,130.0,152.86,167.41,168.38,172.68,162.76,164.16,180.17,185.55,185.79,214.57,215.13,217.73,221.4,254.15,328.73,329.36,336.18,337.58,274.69,267.49,345.88,PH010000000
Nominal Wage Rate,Coconut Workers,Region II (Cagayan Valley),Female,,,,,,,,,133.33,140.31,137.65,,,,182.22,,,,,210.67,223.53,,,,,,PH020000000
Nominal Wage Rate,Coconut Workers,Region II (Cagayan Valley),Male,,,,,80.81,100.47,125.86,130.27,147.79,149.47,156.36,172.33,175.79,191.84,192.28,193.6,199.2,201.66,233.29,274.6,278.56,280.69,281.95,386.4,389.76,443.33,PH020000000
Nominal Wage Rate,Coconut Workers,Region III (Central Luzon),Female,,,,,,,,,,,,169.49,,,,,,,,,,,320.0,,,333.33,PH030000000
