Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ADM0_PCODE
Philippines, Total fertility rate (TFR) (births per woman): Q1 (lowest),SP.DYN.TFRT.Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,6.5,,,,,5.9,,,,,5.2,,,,,5.2,,,,4.3,,,,,,PH
Philippines, Total fertility rate (TFR) (births per woman): Q2,SP.DYN.TFRT.Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,4.7,,,,,4.6,,,,,4.2,,,,,3.7,,,,3.2,,,,,,PH
Philippines, Total fertility rate (TFR) (births per woman): Q3,SP.DYN.TFRT.Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,3.6,,,,,3.5,,,,,3.3,,,,,3.1,,,,2.6,,,,,,PH
Philippines, Total fertility rate (TFR) (births per woman): Q4,SP.DYN.TFRT.Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,2.9,,,,,2.8,,,,,2.7,,,,,2.4,,,,2.1,,,,,,PH
Philippines, Total fertility rate (TFR) (births per woman): Q5 (highest),SP.DYN.TFRT.Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,2.1,,,,,2,,,,,1.9,,,,,1.7,,,,1.7,,,,,,PH
Philippines,5-bank asset concentration,GFDD.OI.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1538,58.62597,57.14145,68.58978,65.06412,64.4309,64.94192,56.37311,56.47571,60.33587,62.48989,64.27776,61.60315,64.40413,64.2443,64.04593,65.4551,67.32913,,PH
Philippines,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,PH
Philippines,A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,PH
Philippines,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,PH
Philippines,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,PH
