Geolocation,2015,2018,2021,ADM2_CODE
1st District,19.9,18.7,9.1,PH133900000
2nd District,15.1,13.7,15.6,PH137600000
3rd District,15.7,16.3,13.9,PH137400000
4th District,16.2,14.7,15.9,PH137500000
Abra,19.6,23.4,19.3,PH140100000
Apayao,24.1,21.2,18.5,PH148100000
Benguet,14.7,20.8,20.1,PH141100000
Ifugao,27.4,16.4,16.3,PH142700000
Kalinga,24.8,18.4,19.0,PH143200000
Mt. Province,24.3,23.4,20.0,PH144400000
Ilocos Norte,14.4,10.1,12.0,PH012800000
Ilocos Sur,16.8,15.7,20.7,PH012900000
La Union,25.7,13.3,18.1,PH013300000
Pangasinan,19.4,17.3,21.3,PH015500000
Batanes,0.2,18.5,14.2,PH020900000
Cagayan,20.2,19.0,18.1,PH021500000
Isabela,16.2,19.5,21.4,PH023100000
Nueva Vizcaya,19.9,20.3,21.3,PH025000000
Quirino,19.5,16.8,15.6,PH025700000
Aurora,26.9,18.7,21.8,PH037700000
Bataan,15.9,19.5,17.4,PH030800000
Bulacan,18.7,17.2,19.7,PH031400000
Nueva Ecija,20.0,17.0,16.6,PH034900000
Pampanga,11.8,14.6,13.6,PH035400000
Tarlac,21.0,15.2,19.8,PH036900000
Zambales,22.8,22.8,21.9,PH037100000
Batangas,24.4,17.5,16.6,PH041000000
Cavite,18.5,20.5,18.4,PH042100000
Laguna,15.9,14.0,20.1,PH043400000
Quezon,22.0,20.7,22.2,PH045600000
Rizal,17.7,17.9,14.8,PH045800000
Marinduque,18.8,21.5,18.3,PH174000000
Occidental Mindoro,30.5,24.9,26.7,PH175100000
Oriental Mindoro,29.4,21.0,26.5,PH175200000
Palawan,18.8,19.3,18.5,PH175300000
Romblon,20.8,20.7,23.0,PH175900000
Albay,22.9,18.7,21.7,PH050500000
Camarines Norte,24.0,20.1,19.6,PH051600000
Camarines Sur,21.2,19.9,25.1,PH051700000
Catanduanes,25.5,19.7,19.9,PH052000000
Masbate,22.5,19.9,22.0,PH054100000
Sorsogon,23.8,19.4,20.4,PH056200000
Aklan,12.6,15.8,21.5,PH060400000
Antique,20.4,19.5,23.6,PH060600000
Capiz,17.1,11.4,14.9,PH061900000
Guimaras,11.6,15.9,15.8,PH067900000
Iloilo,23.5,17.8,22.5,PH063000000
Negros Occidental,23.6,21.4,20.2,PH064500000
Bohol,28.8,18.1,23.9,PH071200000
Cebu,27.6,19.6,26.2,PH072200000
Negros Oriental,30.8,24.9,25.2,PH074600000
Siquijor,26.2,18.6,14.6,PH076100000
Biliran,22.5,17.0,23.1,PH087800000
Eastern Samar,32.7,27.5,25.4,PH082600000
Leyte,23.4,21.8,24.8,PH083700000
Northern Samar,32.3,21.4,19.2,PH084800000
Southern Leyte,27.9,18.6,20.1,PH086400000
Samar,29.5,22.0,22.7,PH086000000
Zamboanga del Norte,30.7,27.5,29.3,PH097200000
Zamboanga del Sur,21.9,21.0,22.8,PH097300000
Zamboanga Sibugay,19.1,22.5,24.2,PH098300000
Isabela City,18.8,23.4,16.8,PH099700000
Bukidnon,32.4,20.0,25.0,PH101300000
Camiguin,27.0,18.9,21.3,PH101800000
Lanao del Norte,30.7,18.7,25.7,PH103500000
Misamis Occidental,24.3,19.2,18.7,PH104200000
Misamis Oriental,23.3,19.0,20.9,PH104300000
Davao del Norte,25.2,18.5,20.9,PH112300000
Davao del Sur,24.4,21.6,21.1,PH112400000
Davao Oriental,20.2,21.6,19.1,PH112500000
Davao de Oro,19.9,21.3,20.4,PH118200000
Davao Occidental,..,21.3,25.4,PH118600000
Cotabato,32.3,25.4,25.0,PH124700000
Sarangani,33.8,31.9,27.8,PH128000000
South Cotabato,27.2,23.7,24.0,PH126300000
Sultan Kudarat,37.3,26.9,25.0,PH126500000
Cotabato City,24.0,22.7,24.6,PH129800000
Agusan del Norte,26.9,22.8,24.9,PH160200000
Agusan del Sur,28.1,22.9,25.2,PH160300000
Surigao Del Norte,26.5,22.1,23.4,PH166700000
Surigao Del Sur,25.0,22.1,22.2,PH166800000
Dinagat Islands,24.0,21.0,22.6,PH168500000
Basilan,17.6,30.8,26.1,PH150700000
Lanao del Sur,32.2,30.3,10.4,PH153600000
Maguindanao,27.6,25.1,21.4,PH153800000
Sulu,20.9,27.4,24.5,PH156600000
Tawi-tawi,11.7,15.8,21.5,PH157000000
