Geolocation,2015,2018,2021p,ADM2_CODE
1st District,13.63,9.01,5.29,PH133900000
2nd District,22.28,16.47,19.79,PH137600000
3rd District,24.00,15.11,23.36,PH137400000
4th District,26.19,7.0,27.72,PH137500000
Abra,12.21,8.19,9.19,PH140100000
Apayao,8.43,4.27,1.3,PH148100000
Benguet,4.91,9.09,9.01,PH141100000
Ifugao,14.66,4.46,2.83,PH142700000
Kalinga,14.59,4.03,2.56,PH143200000
Mt. Province,12.83,6.31,5.85,PH144400000
Ilocos Norte,7.59,4.49,2.65,PH012800000
Ilocos Sur,17.07,8.96,19.59,PH012900000
La Union,29.87,5.5,13.36,PH013300000
Pangasinan,106.39,66.2,103.6,PH015500000
Batanes,0.39,0.33,0.14,PH020900000
Cagayan,37.47,35.84,21.85,PH021500000
Isabela,49.32,51.92,65.96,PH023100000
Nueva Vizcaya,9.60,14.16,14.23,PH025000000
Quirino,8.76,4.04,2.91,PH025700000
Aurora,16.18,6.1,9.13,PH037700000
Bataan,1.40,10.93,18.54,PH030800000
Bulacan,23.40,28.74,73.15,PH031400000
Nueva Ecija,98.15,35.25,57.04,PH034900000
Pampanga,14.26,13.88,20.21,PH035400000
Tarlac,40.78,25.26,28.61,PH036900000
Zambales,18.72,23.21,40.98,PH037100000
Batangas,107.17,58.42,32.28,PH041000000
Cavite,51.28,36.77,77.05,PH042100000
Laguna,31.88,23.23,64.81,PH043400000
Quezon,98.94,48.35,89.04,PH045600000
Rizal,23.49,23.65,32.46,PH045800000
Marinduque,9.52,5.59,9.08,PH174000000
Occidental Mindoro,31.22,19.33,29.21,PH175100000
Oriental Mindoro,29.11,14.69,27.16,PH175200000
Palawan,29.25,23.59,29.44,PH175300000
Romblon,23.93,14.15,23.5,PH175900000
Albay,51.32,43.42,46.82,PH050500000
Camarines Norte,45.77,30.88,24.29,PH051600000
Camarines Sur,106.46,88.34,131.1,PH051700000
Catanduanes,19.31,8.2,9.97,PH052000000
Masbate,67.18,51.07,41.43,PH054100000
Sorsogon,87.16,34.36,39.88,PH056200000
Aklan,12.82,12.59,21.49,PH060400000
Antique,20.74,17.77,26.64,PH060600000
Capiz,14.20,7.9,12.63,PH061900000
Guimaras,1.61,2.96,3.44,PH067900000
Iloilo,97.16,68.98,76.7,PH063000000
Negros Occidental,170.58,108.07,128.16,PH064500000
Bohol,71.07,47.36,61.45,PH071200000
Cebu,203.93,133.95,292.59,PH072200000
Negros Oriental,131.67,63.15,80.03,PH074600000
Siquijor,16.47,1.73,0.55,PH076100000
Biliran,8.26,5.63,8.68,PH087800000
Eastern Samar,43.35,47.96,37.65,PH082600000
Leyte,119.76,107.04,111.43,PH083700000
Northern Samar,62.33,37.13,27.06,PH084800000
Southern Leyte,29.57,16.37,15.5,PH086400000
Samar,62.41,39.21,50.99,PH086000000
Zamboanga del Norte,119.25,87.2,99.82,PH097200000
Zamboanga del Sur,78.26,74.19,58.83,PH097300000
Zamboanga Sibugay,32.43,41.36,42.62,PH098300000
Isabela City,7.40,10.24,3.32,PH099700000
Bukidnon,139.59,73.42,79.93,PH101300000
Camiguin,8.07,3.81,3.28,PH101800000
Lanao del Norte,78.23,44.26,63.32,PH103500000
Misamis Occidental,45.47,27.3,26.49,PH104200000
Misamis Oriental,65.40,45.42,55.15,PH104300000
Davao del Norte,49.96,24.98,18.65,PH112300000
Davao del Sur,104.04,51.71,51.87,PH112400000
Davao Oriental,27.54,21.55,32.29,PH112500000
Davao de Oro,30.49,33.23,33.57,PH118200000
Davao Occidental,..,47.02,29.04,PH118600000
Cotabato,115.16,83.1,90.09,PH124700000
Sarangani,46.95,48.28,47.68,PH128000000
South Cotabato,74.48,54.04,54.02,PH126300000
Sultan Kudarat,74.94,46.49,46.93,PH126500000
Cotabato City,16.42,20.85,19.16,PH129800000
Agusan del Norte,41.58,31.62,42.27,PH160200000
Agusan del Sur,51.19,50.49,58.97,PH160300000
Surigao Del Norte,32.78,32.76,27.28,PH166700000
Surigao Del Sur,42.91,26.65,35.36,PH166800000
Dinagat Islands,10.22,7.84,8.03,PH168500000
Basilan,14.09,41.98,28.49,PH150700000
Lanao del Sur,120.16,109.12,13.25,PH153600000
Maguindanao,81.13,84.58,66.43,PH153800000
Sulu,107.88,110.0,78.81,PH156600000
Tawi-tawi,10.38,10.49,20.17,PH157000000
