Geolocation,2015,2018,2021p,ADM2_CODE
1st District,88.24,55.28,32.12,PH133900000
2nd District,139.64,110.97,139.69,PH137600000
3rd District,124.75,94.41,144.67,PH137400000
4th District,170.21,41.5,166.01,PH137500000
Abra,74.20,45.65,53.52,PH140100000
Apayao,43.10,24.04,8.47,PH148100000
Benguet,28.50,49.33,48.21,PH141100000
Ifugao,85.92,30.13,17.11,PH142700000
Kalinga,88.44,26.31,18.45,PH143200000
Mt. Province,70.08,38.37,34.96,PH144400000
Ilocos Norte,48.71,27.09,15.5,PH012800000
Ilocos Sur,96.82,52.92,108.46,PH012900000
La Union,157.56,35.98,77.31,PH013300000
Pangasinan,641.32,394.15,561.48,PH015500000
Batanes,2.49,1.68,0.61,PH020900000
Cagayan,196.30,199.17,129.91,PH021500000
Isabela,300.19,282.05,344.78,PH023100000
Nueva Vizcaya,57.47,75.65,74.91,PH025000000
Quirino,56.01,24.43,18.12,PH025700000
Aurora,74.72,36.47,49.63,PH037700000
Bataan,8.94,63.89,98.74,PH030800000
Bulacan,140.75,177.45,409.16,PH031400000
Nueva Ecija,507.39,194.0,332.69,PH034900000
Pampanga,107.56,83.72,142.92,PH035400000
Tarlac,235.66,149.04,175.74,PH036900000
Zambales,104.41,131.99,221.44,PH037100000
Batangas,621.29,330.33,196.93,PH041000000
Cavite,313.32,211.21,436.33,PH042100000
Laguna,174.32,125.08,324.03,PH043400000
Quezon,527.51,297.9,493.0,PH045600000
Rizal,156.86,137.51,226.07,PH045800000
Marinduque,52.42,35.09,53.5,PH174000000
Occidental Mindoro,201.70,109.74,157.38,PH175100000
Oriental Mindoro,179.52,95.08,165.35,PH175200000
Palawan,178.64,142.46,170.13,PH175300000
Romblon,134.30,84.32,121.5,PH175900000
Albay,339.59,289.03,287.83,PH050500000
Camarines Norte,272.71,185.17,140.03,PH051600000
Camarines Sur,667.07,573.62,804.32,PH051700000
Catanduanes,124.30,54.49,64.76,PH052000000
Masbate,407.55,303.18,262.09,PH054100000
Sorsogon,496.04,215.48,256.26,PH056200000
Aklan,70.72,72.07,123.28,PH060400000
Antique,124.05,114.96,146.31,PH060600000
Capiz,105.17,48.43,76.98,PH061900000
Guimaras,8.24,17.19,18.74,PH067900000
Iloilo,580.05,407.51,454.81,PH063000000
Negros Occidental,963.70,606.74,696.58,PH064500000
Bohol,350.24,280.59,327.05,PH071200000
Cebu,1090.48,725.41,1476.7,PH072200000
Negros Oriental,652.57,354.3,414.04,PH074600000
Siquijor,75.03,10.27,3.4,PH076100000
Biliran,43.99,34.61,49.16,PH087800000
Eastern Samar,246.25,241.49,192.77,PH082600000
Leyte,675.34,580.95,594.92,PH083700000
Northern Samar,353.35,224.34,174.81,PH084800000
Southern Leyte,154.55,103.09,96.61,PH086400000
Samar,357.90,235.81,280.79,PH086000000
Zamboanga del Norte,665.30,469.71,534.74,PH097200000
Zamboanga del Sur,468.36,451.59,354.14,PH097300000
Zamboanga Sibugay,180.55,234.22,233.65,PH098300000
Isabela City,52.40,62.26,22.6,PH099700000
Bukidnon,733.88,406.26,446.12,PH101300000
Camiguin,38.21,22.07,19.18,PH101800000
Lanao del Norte,427.21,275.18,380.71,PH103500000
Misamis Occidental,239.96,165.55,155.9,PH104200000
Misamis Oriental,373.79,260.12,321.15,PH104300000
Davao del Norte,275.52,139.92,112.97,PH112300000
Davao del Sur,538.57,284.19,267.25,PH112400000
Davao Oriental,167.67,124.43,184.57,PH112500000
Davao de Oro,167.02,191.14,186.43,PH118200000
Davao Occidental,..,238.49,148.96,PH118600000
Cotabato,634.38,430.29,494.02,PH124700000
Sarangani,221.57,238.26,243.05,PH128000000
South Cotabato,377.08,287.24,278.09,PH126300000
Sultan Kudarat,403.02,264.14,260.97,PH126500000
Cotabato City,94.89,128.38,123.63,PH129800000
Agusan del Norte,242.70,175.75,230.13,PH160200000
Agusan del Sur,307.28,273.53,306.15,PH160300000
Surigao Del Norte,181.54,175.34,148.25,PH166700000
Surigao Del Sur,239.75,155.15,195.26,PH166800000
Dinagat Islands,57.19,42.4,43.73,PH168500000
Basilan,93.80,271.76,211.62,PH150700000
Lanao del Sur,791.49,785.62,127.24,PH153600000
Maguindanao,532.62,611.49,514.99,PH153800000
Sulu,736.55,722.7,583.15,PH156600000
Tawi-tawi,87.25,89.92,152.56,PH157000000
