Geolocation,2015,2018,2021p,ADM2_CODE
1st District,3.32,2.16,0.0,PH133900000
2nd District,1.52,2.16,3.18,PH137600000
3rd District,3.65,3.29,1.6,PH137400000
4th District,3.94,0.46,4.31,PH137500000
Abra,3.23,2.44,1.98,PH140100000
Apayao,2.58,1.12,0.23,PH148100000
Benguet,0.65,2.59,1.59,PH141100000
Ifugao,6.48,0.5,0.53,PH142700000
Kalinga,5.00,0.67,0.51,PH143200000
Mt. Province,4.44,2.05,1.29,PH144400000
Ilocos Norte,0.47,0.1,0.0,PH012800000
Ilocos Sur,3.03,0.98,5.73,PH012900000
La Union,12.64,0.38,2.07,PH013300000
Pangasinan,23.62,10.8,28.19,PH015500000
Batanes,0.00,0.07,0.01,PH020900000
Cagayan,7.84,8.71,3.68,PH021500000
Isabela,6.06,11.85,16.48,PH023100000
Nueva Vizcaya,2.89,4.09,3.81,PH025000000
Quirino,2.02,0.66,0.4,PH025700000
Aurora,6.93,1.29,2.64,PH037700000
Bataan,0.00,2.61,3.92,PH030800000
Bulacan,5.30,5.21,13.76,PH031400000
Nueva Ecija,22.56,4.54,9.01,PH034900000
Pampanga,0.66,1.25,2.54,PH035400000
Tarlac,10.57,4.33,5.66,PH036900000
Zambales,5.87,7.32,10.36,PH037100000
Batangas,35.38,7.56,4.75,PH041000000
Cavite,12.48,8.98,16.71,PH042100000
Laguna,6.29,1.85,14.32,PH043400000
Quezon,28.79,13.3,25.61,PH045600000
Rizal,4.26,5.17,4.29,PH045800000
Marinduque,1.46,1.44,1.78,PH174000000
Occidental Mindoro,16.20,6.32,12.09,PH175100000
Oriental Mindoro,12.85,3.89,11.55,PH175200000
Palawan,5.11,5.15,6.29,PH175300000
Romblon,5.13,3.6,7.25,PH175900000
Albay,18.41,9.28,12.02,PH050500000
Camarines Norte,15.88,7.23,5.42,PH051600000
Camarines Sur,27.64,22.2,46.23,PH051700000
Catanduanes,7.46,1.98,2.45,PH052000000
Masbate,20.33,10.49,12.17,PH054100000
Sorsogon,30.77,7.8,9.93,PH056200000
Aklan,0.59,1.51,6.27,PH060400000
Antique,5.10,4.21,8.43,PH060600000
Capiz,2.67,0.41,1.72,PH061900000
Guimaras,0.00,0.33,0.38,PH067900000
Iloilo,33.55,12.66,24.52,PH063000000
Negros Occidental,51.35,30.09,29.18,PH064500000
Bohol,29.55,8.9,19.94,PH071200000
Cebu,83.47,29.34,110.25,PH072200000
Negros Oriental,60.38,23.47,27.1,PH074600000
Siquijor,7.21,0.44,0.0,PH076100000
Biliran,2.51,0.92,2.89,PH087800000
Eastern Samar,24.12,19.34,15.42,PH082600000
Leyte,35.71,29.04,36.72,PH083700000
Northern Samar,35.65,9.64,5.25,PH084800000
Southern Leyte,13.40,3.52,3.76,PH086400000
Samar,26.82,11.83,17.46,PH086000000
Zamboanga del Norte,58.23,37.9,45.4,PH097200000
Zamboanga del Sur,23.71,19.3,17.4,PH097300000
Zamboanga Sibugay,5.24,12.47,13.68,PH098300000
Isabela City,1.78,3.23,0.6,PH099700000
Bukidnon,79.18,18.42,29.0,PH101300000
Camiguin,2.40,0.8,0.86,PH101800000
Lanao del Norte,39.08,9.06,24.15,PH103500000
Misamis Occidental,14.11,5.91,5.79,PH104200000
Misamis Oriental,20.27,9.09,13.81,PH104300000
Davao del Norte,17.12,5.45,5.05,PH112300000
Davao del Sur,39.29,14.13,13.26,PH112400000
Davao Oriental,6.77,5.91,7.28,PH112500000
Davao de Oro,5.28,9.06,8.71,PH118200000
Davao Occidental,..,12.56,11.05,PH118600000
Cotabato,63.04,31.21,33.62,PH124700000
Sarangani,26.20,23.15,19.99,PH128000000
South Cotabato,30.01,16.42,18.25,PH126300000
Sultan Kudarat,45.85,18.08,18.01,PH126500000
Cotabato City,6.47,6.12,6.96,PH129800000
Agusan del Norte,16.05,9.59,14.92,PH160200000
Agusan del Sur,23.33,15.84,22.0,PH160300000
Surigao Del Norte,13.65,9.43,9.27,PH166700000
Surigao Del Sur,15.29,7.48,11.09,PH166800000
Dinagat Islands,3.60,2.26,2.75,PH168500000
Basilan,3.34,21.6,10.96,PH150700000
Lanao del Sur,67.50,52.73,0.46,PH153600000
Maguindanao,32.75,31.36,18.48,PH153800000
Sulu,24.09,46.04,26.4,PH156600000
Tawi-tawi,0.32,1.43,4.59,PH157000000
