Geolocation,2015,2018,2021p,ADM2_CODE
1st District,25.26,12.83,0.0,PH133900000
2nd District,15.71,13.54,26.11,PH137600000
3rd District,20.29,24.86,12.08,PH137400000
4th District,22.84,2.84,25.37,PH137500000
Abra,23.18,14.62,13.17,PH140100000
Apayao,13.65,6.87,1.46,PH148100000
Benguet,3.31,14.41,9.4,PH141100000
Ifugao,40.06,3.74,3.24,PH142700000
Kalinga,32.12,4.71,4.15,PH143200000
Mt. Province,26.13,14.41,8.25,PH144400000
Ilocos Norte,4.49,1.01,0.0,PH012800000
Ilocos Sur,16.29,6.79,34.61,PH012900000
La Union,72.33,3.07,12.82,PH013300000
Pangasinan,163.04,78.91,163.88,PH015500000
Batanes,0.00,0.37,0.05,PH020900000
Cagayan,42.38,51.31,24.31,PH021500000
Isabela,41.38,73.39,94.68,PH023100000
Nueva Vizcaya,19.42,23.96,21.82,PH025000000
Quirino,14.62,4.73,2.57,PH025700000
Aurora,39.02,8.53,15.79,PH037700000
Bataan,0.00,16.63,23.32,PH030800000
Bulacan,33.81,39.38,91.41,PH031400000
Nueva Ecija,123.97,30.58,65.98,PH034900000
Pampanga,7.43,8.13,18.07,PH035400000
Tarlac,57.00,27.1,39.86,PH036900000
Zambales,39.82,42.34,66.77,PH037100000
Batangas,220.62,44.86,31.03,PH041000000
Cavite,86.64,53.19,104.12,PH042100000
Laguna,34.01,11.15,80.86,PH043400000
Quezon,165.86,90.53,150.67,PH045600000
Rizal,29.25,29.76,30.94,PH045800000
Marinduque,8.78,9.52,11.89,PH174000000
Occidental Mindoro,111.17,38.36,69.25,PH175100000
Oriental Mindoro,78.52,26.62,75.04,PH175200000
Palawan,35.19,33.82,40.74,PH175300000
Romblon,31.60,23.85,42.73,PH175900000
Albay,141.19,73.86,88.03,PH050500000
Camarines Norte,114.78,49.01,34.43,PH051600000
Camarines Sur,188.59,162.83,308.17,PH051700000
Catanduanes,48.56,13.98,17.06,PH052000000
Masbate,132.60,69.93,88.82,PH054100000
Sorsogon,194.86,54.25,72.32,PH056200000
Aklan,3.98,11.15,40.96,PH060400000
Antique,34.86,31.31,49.63,PH060600000
Capiz,23.37,2.87,11.68,PH061900000
Guimaras,0.00,1.69,2.27,PH067900000
Iloilo,224.36,79.96,155.92,PH063000000
Negros Occidental,324.02,195.36,178.61,PH064500000
Bohol,157.93,58.28,111.91,PH071200000
Cebu,434.70,166.51,610.97,PH072200000
Negros Oriental,326.90,145.13,153.38,PH074600000
Siquijor,33.50,3.37,0.0,PH076100000
Biliran,16.70,6.26,18.19,PH087800000
Eastern Samar,145.94,107.57,87.39,PH082600000
Leyte,222.00,177.02,221.46,PH083700000
Northern Samar,227.73,69.16,38.99,PH084800000
Southern Leyte,78.22,25.56,27.01,PH086400000
Samar,165.69,77.35,105.17,PH086000000
Zamboanga del Norte,373.97,227.87,271.51,PH097200000
Zamboanga del Sur,147.21,128.3,115.33,PH097300000
Zamboanga Sibugay,33.68,81.9,85.38,PH098300000
Isabela City,15.73,22.5,3.56,PH099700000
Bukidnon,445.82,118.55,175.27,PH101300000
Camiguin,14.04,4.75,5.51,PH101800000
Lanao del Norte,236.89,66.66,164.54,PH103500000
Misamis Occidental,83.83,40.64,38.7,PH104200000
Misamis Oriental,133.37,59.27,87.97,PH104300000
Davao del Norte,103.17,33.98,30.96,PH112300000
Davao del Sur,219.68,81.63,75.18,PH112400000
Davao Oriental,47.98,38.13,47.07,PH112500000
Davao de Oro,40.03,58.88,54.28,PH118200000
Davao Occidental,..,75.38,63.95,PH118600000
Cotabato,370.45,173.67,214.13,PH124700000
Sarangani,128.41,124.12,112.17,PH128000000
South Cotabato,164.65,94.27,103.76,PH126300000
Sultan Kudarat,267.57,110.5,113.8,PH126500000
Cotabato City,40.15,43.13,51.42,PH129800000
Agusan del Norte,100.54,59.82,87.92,PH160200000
Agusan del Sur,152.66,93.21,127.21,PH160300000
Surigao Del Norte,81.55,56.43,56.7,PH166700000
Surigao Del Sur,98.53,48.04,67.82,PH166800000
Dinagat Islands,20.84,12.79,16.85,PH168500000
Basilan,26.94,156.84,94.41,PH150700000
Lanao del Sur,500.32,423.22,4.73,PH153600000
Maguindanao,239.04,254.74,168.5,PH153800000
Sulu,186.41,364.63,225.88,PH156600000
Tawi-tawi,2.50,13.62,42.06,PH157000000
