ADM2_CODE,Geolocation,Attribute,2015,2018,2021p
PH012800000,Ilocos Norte,Poverty Incidence,5.2,3.1,1.7
PH012800000,Ilocos Norte,Poverty Threshold,23505,26711,31031
PH012900000,Ilocos Sur,Poverty Incidence,10.8,5.5,11.5
PH012900000,Ilocos Sur,Poverty Threshold,23555,24603,32752
PH013300000,La Union,Poverty Incidence,13.5,2.9,6.6
PH013300000,La Union,Poverty Threshold,21893,22456,27909
PH015500000,Pangasinan,Poverty Incidence,16.9,9.3,13.9
PH015500000,Pangasinan,Poverty Threshold,22799,27828,31240
PH020900000,Batanes,Poverty Incidence,10.0,6.5,2.6
PH020900000,Batanes,Poverty Threshold,31422,37540,35550
PH021500000,Cagayan,Poverty Incidence,14.0,12.5,7.3
PH021500000,Cagayan,Poverty Threshold,21479,24759,26954
PH023100000,Isabela,Poverty Incidence,12.4,13.2,15.9
PH023100000,Isabela,Poverty Threshold,23365,25460,29452
PH025000000,Nueva Vizcaya,Poverty Incidence,10.5,11.6,10.8
PH025000000,Nueva Vizcaya,Poverty Threshold,23250,24857,25514
PH025700000,Quirino,Poverty Incidence,20.3,8.9,6.2
PH025700000,Quirino,Poverty Threshold,21602,23580,27060
PH030800000,Bataan,Poverty Incidence,0.8,5.8,9.0
PH030800000,Bataan,Poverty Threshold,23127,29496,31046
PH031400000,Bulacan,Poverty Incidence,3.1,3.5,8.3
PH031400000,Bulacan,Poverty Threshold,21181,27244,33591
PH034900000,Nueva Ecija,Poverty Incidence,16.8,6.6,10.0
PH034900000,Nueva Ecija,Poverty Threshold,23006,25466,29751
PH035400000,Pampanga,Poverty Incidence,2.7,2.1,2.9
PH035400000,Pampanga,Poverty Threshold,21686,26633,33122
PH036900000,Tarlac,Poverty Incidence,13.2,7.7,8.1
PH036900000,Tarlac,Poverty Threshold,22344,25386,29704
PH037100000,Zambales,Poverty Incidence,12.3,10.9,17.7
PH037100000,Zambales,Poverty Threshold,26983,29977,33383
PH037700000,Aurora,Poverty Incidence,27.3,11.8,16.5
PH037700000,Aurora,Poverty Threshold,22665,25219,30282
PH041000000,Batangas,Poverty Incidence,17.4,8.6,4.3
PH041000000,Batangas,Poverty Threshold,30086,33068,30828
PH042100000,Cavite,Poverty Incidence,6.1,3.7,7.1
PH042100000,Cavite,Poverty Threshold,27394,29157,35843
PH043400000,Laguna,Poverty Incidence,3.8,2.7,6.9
PH043400000,Laguna,Poverty Threshold,21278,23688,29892
PH045600000,Quezon,Poverty Incidence,18.4,9.3,16.3
PH045600000,Quezon,Poverty Threshold,20962,22805,27151
PH045800000,Rizal,Poverty Incidence,4.1,3.3,4.3
PH045800000,Rizal,Poverty Threshold,25126,28647,32217
PH050500000,Albay,Poverty Incidence,18.5,15.0,15.4
PH050500000,Albay,Poverty Threshold,22328,24902,27346
PH051600000,Camarines Norte,Poverty Incidence,35.1,22.4,16.6
PH051600000,Camarines Norte,Poverty Threshold,23940,25051,27571
PH051700000,Camarines Sur,Poverty Incidence,28.5,21.0,29.8
PH051700000,Camarines Sur,Poverty Threshold,22874,24271,28651
PH052000000,Catanduanes,Poverty Incidence,33.6,14.4,16.8
PH052000000,Catanduanes,Poverty Threshold,21668,24380,28014
PH054100000,Masbate,Poverty Incidence,35.5,25.8,20.2
PH054100000,Masbate,Poverty Threshold,20406,22911,25545
PH056200000,Sorsogon,Poverty Incidence,46.2,19.6,21.7
PH056200000,Sorsogon,Poverty Threshold,23268,26069,27133
PH060400000,Aklan,Poverty Incidence,12.0,8.8,13.9
PH060400000,Aklan,Poverty Threshold,22184,23745,26837
PH060600000,Antique,Poverty Incidence,18.4,12.9,18.2
PH060600000,Antique,Poverty Threshold,20672,24023,26633
PH061900000,Capiz,Poverty Incidence,7.0,4.1,6.1
PH061900000,Capiz,Poverty Threshold,20866,22669,26692
PH063000000,Iloilo,Poverty Incidence,16.4,12.1,12.6
PH063000000,Iloilo,Poverty Threshold,22898,26113,27821
PH064500000,Negros Occidental,Poverty Incidence,25.5,14.5,16.4
PH064500000,Negros Occidental,Poverty Threshold,21577,23692,26782
PH067900000,Guimaras,Poverty Incidence,4.8,6.8,7.3
PH067900000,Guimaras,Poverty Threshold,23327,25899,27090
PH071200000,Bohol,Poverty Incidence,25.2,15.5,19.1
PH071200000,Bohol,Poverty Threshold,22634,26108,26853
PH072200000,Cebu,Poverty Incidence,20.0,11.3,22.8
PH072200000,Cebu,Poverty Threshold,23061,25914,33657
PH074600000,Negros Oriental,Poverty Incidence,36.3,19.4,23.6
PH074600000,Negros Oriental,Poverty Threshold,22077,25113,26024
PH076100000,Siquijor,Poverty Incidence,47.0,7.2,2.2
PH076100000,Siquijor,Poverty Threshold,21563,25649,25603
PH082600000,Eastern Samar,Poverty Incidence,42.4,40.9,29.4
PH082600000,Eastern Samar,Poverty Threshold,25358,29070,28924
PH083700000,Leyte,Poverty Incidence,25.1,21.7,20.8
PH083700000,Leyte,Poverty Threshold,21412,23574,26570
PH084800000,Northern Samar,Poverty Incidence,51.8,27.6,19.3
PH084800000,Northern Samar,Poverty Threshold,22775,25971,26572
PH086000000,Samar,Poverty Incidence,41.8,22.2,27.0
PH086000000,Samar,Poverty Threshold,21298,23131,25259
PH086400000,Southern Leyte,Poverty Incidence,32.7,17.3,16.0
PH086400000,Southern Leyte,Poverty Threshold,23968,25756,28799
PH087800000,Biliran,Poverty Incidence,17.4,13.7,19.9
PH087800000,Biliran,Poverty Threshold,21372,24216,28293
PH097200000,Zamboanga del Norte,Poverty Incidence,50.9,36.9,40.8
PH097200000,Zamboanga del Norte,Poverty Threshold,24377,28523,33799
PH097300000,Zamboanga del Sur,Poverty Incidence,18.9,17.4,13.4
PH097300000,Zamboanga del Sur,Poverty Threshold,20444,23977,24066
PH098300000,Zamboanga Sibugay,Poverty Incidence,27.6,27.1,26.0
PH098300000,Zamboanga Sibugay,Poverty Threshold,21331,23054,24708
PH099700000,Isabela City,Poverty Incidence,22.2,41.6,12.7
PH099700000,Isabela City,Poverty Threshold,22544,25870,23925
PH101300000,Bukidnon,Poverty Incidence,47.6,22.3,22.8
PH101300000,Bukidnon,Poverty Threshold,23993,25624,29040
PH101800000,Camiguin,Poverty Incidence,33.9,17.9,14.7
PH101800000,Camiguin,Poverty Threshold,23908,26042,28514
PH103500000,Lanao del Norte,Poverty Incidence,38.1,19.0,25.5
PH103500000,Lanao del Norte,Poverty Threshold,22485,24450,28589
PH104200000,Misamis Occidental,Poverty Incidence,36.8,19.5,18.3
PH104200000,Misamis Occidental,Poverty Threshold,22261,24505,30062
PH104300000,Misamis Oriental,Poverty Incidence,16.5,11.4,13.0
PH104300000,Misamis Oriental,Poverty Threshold,22117,24118,28270
PH112300000,Davao del Norte,Poverty Incidence,24.3,10.3,7.3
