ADM2_CODE,Geolocation,Attribute,2015,2018,2021p
PH012800000,Ilocos Norte,Poverty Incidence,8,4,3
PH012800000,Ilocos Norte,Poverty Threshold,23505,26711,31031
PH012900000,Ilocos Sur,Poverty Incidence,14,7,15
PH012900000,Ilocos Sur,Poverty Threshold,23555,24603,32752
PH013300000,La Union,Poverty Incidence,18,4,9
PH013300000,La Union,Poverty Threshold,21893,22456,27909
PH015500000,Pangasinan,Poverty Incidence,23,13,18
PH015500000,Pangasinan,Poverty Threshold,22799,27828,31240
PH020900000,Batanes,Poverty Incidence,14,10,3
PH020900000,Batanes,Poverty Threshold,31422,37540,35550
PH021500000,Cagayan,Poverty Incidence,17,16,10
PH021500000,Cagayan,Poverty Threshold,21479,24759,26954
PH023100000,Isabela,Poverty Incidence,18,17,20
PH023100000,Isabela,Poverty Threshold,23365,25460,29452
PH025000000,Nueva Vizcaya,Poverty Incidence,15,16,15
PH025000000,Nueva Vizcaya,Poverty Threshold,23250,24857,25514
PH025700000,Quirino,Poverty Incidence,28,13,9
PH025700000,Quirino,Poverty Threshold,21602,23580,27060
PH030800000,Bataan,Poverty Incidence,1,8,12
PH030800000,Bataan,Poverty Threshold,23127,29496,31046
PH031400000,Bulacan,Poverty Incidence,4,5,11
PH031400000,Bulacan,Poverty Threshold,21181,27244,33591
PH034900000,Nueva Ecija,Poverty Incidence,21,9,14
PH034900000,Nueva Ecija,Poverty Threshold,23006,25466,29751
PH035400000,Pampanga,Poverty Incidence,5,3,5
PH035400000,Pampanga,Poverty Threshold,21686,26633,33122
PH036900000,Tarlac,Poverty Incidence,17,10,12
PH036900000,Tarlac,Poverty Threshold,22344,25386,29704
PH037100000,Zambales,Poverty Incidence,17,15,24
PH037100000,Zambales,Poverty Threshold,26983,29977,33383
PH037700000,Aurora,Poverty Incidence,34,16,22
PH037700000,Aurora,Poverty Threshold,22665,25219,30282
PH041000000,Batangas,Poverty Incidence,22,11,6
PH041000000,Batangas,Poverty Threshold,30086,33068,30828
PH042100000,Cavite,Poverty Incidence,9,5,10
PH042100000,Cavite,Poverty Threshold,27394,29157,35843
PH043400000,Laguna,Poverty Incidence,5,4,10
PH043400000,Laguna,Poverty Threshold,21278,23688,29892
PH045600000,Quezon,Poverty Incidence,24,13,22
PH045600000,Quezon,Poverty Threshold,20962,22805,27151
PH045800000,Rizal,Poverty Incidence,6,4,7
PH045800000,Rizal,Poverty Threshold,25126,28647,32217
PH050500000,Albay,Poverty Incidence,26,21,20
PH050500000,Albay,Poverty Threshold,22328,24902,27346
PH051600000,Camarines Norte,Poverty Incidence,44,30,22
PH051600000,Camarines Norte,Poverty Threshold,23940,25051,27571
PH051700000,Camarines Sur,Poverty Incidence,37,28,39
PH051700000,Camarines Sur,Poverty Threshold,22874,24271,28651
PH052000000,Catanduanes,Poverty Incidence,43,20,24
PH052000000,Catanduanes,Poverty Threshold,21668,24380,28014
PH054100000,Masbate,Poverty Incidence,45,33,28
PH054100000,Masbate,Poverty Threshold,20406,22911,25545
PH056200000,Sorsogon,Poverty Incidence,57,26,30
PH056200000,Sorsogon,Poverty Threshold,23268,26069,27133
PH060400000,Aklan,Poverty Incidence,16,12,20
PH060400000,Aklan,Poverty Threshold,22184,23745,26837
PH060600000,Antique,Poverty Incidence,26,19,24
PH060600000,Antique,Poverty Threshold,20672,24023,26633
PH061900000,Capiz,Poverty Incidence,12,6,9
PH061900000,Capiz,Poverty Threshold,20866,22669,26692
PH063000000,Iloilo,Poverty Incidence,22,16,18
PH063000000,Iloilo,Poverty Threshold,22898,26113,27821
PH064500000,Negros Occidental,Poverty Incidence,33,19,22
PH064500000,Negros Occidental,Poverty Threshold,21577,23692,26782
PH067900000,Guimaras,Poverty Incidence,5,9,10
PH067900000,Guimaras,Poverty Threshold,23327,25899,27090
PH071200000,Bohol,Poverty Incidence,31,21,24
PH071200000,Bohol,Poverty Threshold,22634,26108,26853
PH072200000,Cebu,Poverty Incidence,24,15,29
PH072200000,Cebu,Poverty Threshold,23061,25914,33657
PH074600000,Negros Oriental,Poverty Incidence,43,26,29
PH074600000,Negros Oriental,Poverty Threshold,22077,25113,26024
PH076100000,Siquijor,Poverty Incidence,51,10,3
PH076100000,Siquijor,Poverty Threshold,21563,25649,25603
PH082600000,Eastern Samar,Poverty Incidence,52,49,38
PH082600000,Eastern Samar,Poverty Threshold,25358,29070,28924
PH083700000,Leyte,Poverty Incidence,33,28,28
PH083700000,Leyte,Poverty Threshold,21412,23574,26570
PH084800000,Northern Samar,Poverty Incidence,60,34,26
PH084800000,Northern Samar,Poverty Threshold,22775,25971,26572
PH086000000,Samar,Poverty Incidence,49,29,34
PH086000000,Samar,Poverty Threshold,21298,23131,25259
PH086400000,Southern Leyte,Poverty Incidence,41,24,22
PH086400000,Southern Leyte,Poverty Threshold,23968,25756,28799
PH087800000,Biliran,Poverty Incidence,21,20,27
PH087800000,Biliran,Poverty Threshold,21372,24216,28293
PH097200000,Zamboanga del Norte,Poverty Incidence,61,45,51
PH097200000,Zamboanga del Norte,Poverty Threshold,24377,28523,33799
PH097300000,Zamboanga del Sur,Poverty Incidence,25,24,18
PH097300000,Zamboanga del Sur,Poverty Threshold,20444,23977,24066
PH098300000,Zamboanga Sibugay,Poverty Incidence,36,35,34
PH098300000,Zamboanga Sibugay,Poverty Threshold,21331,23054,24708
PH099700000,Isabela City,Poverty Incidence,30,51,17
PH099700000,Isabela City,Poverty Threshold,22544,25870,23925
PH101300000,Bukidnon,Poverty Incidence,54,28,29
PH101300000,Bukidnon,Poverty Threshold,23993,25624,29040
PH101800000,Camiguin,Poverty Incidence,36,24,21
PH101800000,Camiguin,Poverty Threshold,23908,26042,28514
PH103500000,Lanao del Norte,Poverty Incidence,46,26,34
PH103500000,Lanao del Norte,Poverty Threshold,22485,24450,28589
PH104200000,Misamis Occidental,Poverty Incidence,45,27,25
PH104200000,Misamis Occidental,Poverty Threshold,22261,24505,30062
PH104300000,Misamis Oriental,Poverty Incidence,21,16,19
PH104300000,Misamis Oriental,Poverty Threshold,22117,24118,28270
PH112300000,Davao del Norte,Poverty Incidence,31,13,11
PH112300000,Davao del Norte,Poverty Threshold,23807,27034,27354
PH112400000,Davao del Sur,Poverty Incidence,19,12,10
PH112400000,Davao del Sur,Poverty Threshold,23215,25807,29749
PH112500000,Davao Oriental,Poverty Incidence,31,38,30
PH112500000,Davao Oriental,Poverty Threshold,22889,26347,27806
PH118200000,Davao de Oro,Poverty Incidence,27,25,24
PH118200000,Davao de Oro,Poverty Threshold,22092,25867,26161
PH118600000,Davao Occidental,Poverty Incidence,..,41,43
PH118600000,Davao Occidental,Poverty Threshold,..,25356,28511
PH124700000,Cotabato,Poverty Incidence,43,29,32
PH124700000,Cotabato,Poverty Threshold,21237,25020,27473
PH126300000,South Cotabato,Poverty Incidence,23,18,17
PH126300000,South Cotabato,Poverty Threshold,21356,25240,24455
PH126500000,Sultan Kudarat,Poverty Incidence,50,31,30
PH126500000,Sultan Kudarat,Poverty Threshold,21212,23775,25295
PH128000000,Sarangani,Poverty Incidence,53,42,41
PH128000000,Sarangani,Poverty Threshold,20037,23282,24070
PH129800000,Cotabato City,Poverty Incidence,49,42,40
PH129800000,Cotabato City,Poverty Threshold,25581,30349,33890
PH133900000,1st District,Poverty Incidence,5,3,2
PH133900000,1st District,Poverty Threshold,25188,28682,32978
PH137400000,3rd District,Poverty Incidence,4,3,5
PH137400000,3rd District,Poverty Threshold,25188,28682,32978
PH137500000,4th District,Poverty Incidence,5,1,4
PH137500000,4th District,Poverty Threshold,25188,28682,32978
PH137600000,2nd District,Poverty Incidence,3,2,3
PH137600000,2nd District,Poverty Threshold,25188,28682,32978
PH140100000,Abra,Poverty Incidence,29,19,22
PH140100000,Abra,Poverty Threshold,21294,23596,29321
PH141100000,Benguet,Poverty Incidence,4,6,6
PH141100000,Benguet,Poverty Threshold,21935,24158,27519
PH142700000,Ifugao,Poverty Incidence,42,15,8
PH142700000,Ifugao,Poverty Threshold,25133,26429,28734
PH143200000,Kalinga,Poverty Incidence,41,12,8
PH143200000,Kalinga,Poverty Threshold,21267,24219,25447
PH144400000,Mt. Province,Poverty Incidence,45,25,22
PH144400000,Mt. Province,Poverty Threshold,24536,27815,31063
PH148100000,Apayao,Poverty Incidence,43,20,7
PH148100000,Apayao,Poverty Threshold,23310,23135,25694
PH150700000,Basilan,Poverty Incidence,45,74,54
PH150700000,Basilan,Poverty Threshold,21472,26951,26728
PH153600000,Lanao del Sur,Poverty Incidence,77,71,11
PH153600000,Lanao del Sur,Poverty Threshold,24421,29224,29083
PH153800000,Maguindanao,Poverty Incidence,54,49,38
PH153800000,Maguindanao,Poverty Threshold,20399,25368,25371
PH156600000,Sulu,Poverty Incidence,69,82,63
PH156600000,Sulu,Poverty Threshold,23115,29150,31782
PH157000000,Tawi-tawi,Poverty Incidence,18,22,37
PH157000000,Tawi-tawi,Poverty Threshold,17666,21264,26336
PH160200000,Agusan del Norte,Poverty Incidence,33,24,31
PH160200000,Agusan del Norte,Poverty Threshold,20566,23775,27722
PH160300000,Agusan del Sur,Poverty Incidence,48,38,41
PH160300000,Agusan del Sur,Poverty Threshold,23108,24655,27821
PH166700000,Surigao Del Norte,Poverty Incidence,37,34,28
PH166700000,Surigao Del Norte,Poverty Threshold,24662,28293,26444
PH166800000,Surigao Del Sur,Poverty Incidence,41,25,31
PH166800000,Surigao Del Sur,Poverty Threshold,22859,24873,26441
PH168500000,Dinagat Islands,Poverty Incidence,44,33,33
PH168500000,Dinagat Islands,Poverty Threshold,24257,26409,28907
PH174000000,Marinduque,Poverty Incidence,17,15,22
PH174000000,Marinduque,Poverty Threshold,19951,24054,26959
PH175100000,Occidental Mindoro,Poverty Incidence,42,22,30
PH175100000,Occidental Mindoro,Poverty Threshold,20064,21341,26661
PH175200000,Oriental Mindoro,Poverty Incidence,22,11,18
PH175200000,Oriental Mindoro,Poverty Threshold,20345,24470,26265
PH175300000,Palawan,Poverty Incidence,18,12,14
PH175300000,Palawan,Poverty Threshold,19709,23425,24127
PH175900000,Romblon,Poverty Incidence,39,28,40
PH175900000,Romblon,Poverty Threshold,21897,24087,28749
