Geolocation,Poverty Severity 2015,Poverty Severity 2018,Poverty Severity 2021p,ADM2_CODE
1st District,0.3,0.1,0.0,PH133900000
2nd District,0.1,0.0,0.1,PH137600000
3rd District,0.1,0.1,0.1,PH137400000
4th District,0.2,0.0,0.1,PH137500000
Abra,1.1,1.1,0.9,PH140100000
Apayao,2.9,1.0,0.2,PH148100000
Benguet,0.1,0.3,0.2,PH141100000
Ifugao,3.7,0.4,0.3,PH142700000
Kalinga,3.3,0.5,0.3,PH143200000
Mt. Province,2.9,1.3,0.9,PH144400000
Ilocos Norte,0.1,0.0,0.0,PH012800000
Ilocos Sur,0.5,0.2,0.8,PH012900000
La Union,1.3,0.1,0.3,PH013300000
Pangasinan,1.0,0.4,1.0,PH015500000
Batanes,0.0,0.3,0.1,PH020900000
Cagayan,0.8,0.7,0.4,PH021500000
Isabela,0.5,0.8,1.1,PH023100000
Nueva Vizcaya,0.7,0.7,0.8,PH025000000
Quirino,1.2,0.4,0.2,PH025700000
Aurora,2.7,0.6,1.1,PH037700000
Bataan,0.0,0.3,0.5,PH030800000
Bulacan,0.2,0.2,0.5,PH031400000
Nueva Ecija,1.0,0.3,0.4,PH034900000
Pampanga,0.1,0.1,0.1,PH035400000
Tarlac,0.9,0.3,0.5,PH036900000
Zambales,0.9,0.9,1.3,PH037100000
Batangas,1.6,0.4,0.2,PH041000000
Cavite,0.3,0.2,0.4,PH042100000
Laguna,0.2,0.1,0.4,PH043400000
Quezon,1.4,0.6,1.2,PH045600000
Rizal,0.2,0.2,0.2,PH045800000
Marinduque,0.6,0.7,0.8,PH174000000
Occidental Mindoro,3.8,1.5,2.3,PH175100000
Oriental Mindoro,2.0,0.5,1.3,PH175200000
Palawan,0.7,0.5,0.5,PH175300000
Romblon,1.9,1.2,2.3,PH175900000
Albay,1.4,0.8,1.1,PH050500000
Camarines Norte,2.9,1.3,0.9,PH051600000
Camarines Sur,1.9,1.3,2.6,PH051700000
Catanduanes,3.4,0.9,1.0,PH052000000
Masbate,2.7,1.5,1.4,PH054100000
Sorsogon,3.8,1.2,1.4,PH056200000
Aklan,0.3,0.3,1.0,PH060400000
Antique,1.2,0.7,1.5,PH060600000
Capiz,0.3,0.1,0.2,PH061900000
Guimaras,0.1,0.2,0.3,PH067900000
Iloilo,1.4,0.6,1.0,PH063000000
Negros Occidental,2.1,1.0,1.0,PH064500000
Bohol,2.9,0.8,1.6,PH071200000
Cebu,2.2,0.7,2.3,PH072200000
Negros Oriental,4.5,1.8,2.3,PH074600000
Siquijor,4.2,0.4,0.1,PH076100000
Biliran,1.2,0.6,1.5,PH087800000
Eastern Samar,5.9,4.2,2.6,PH082600000
Leyte,1.9,1.5,1.8,PH083700000
Northern Samar,7.0,1.9,1.0,PH084800000
Southern Leyte,3.6,0.9,1.0,PH086400000
Samar,5.2,1.6,2.1,PH086000000
Zamboanga del Norte,6.7,3.8,4.8,PH097200000
Zamboanga del Sur,1.3,1.2,1.0,PH097300000
Zamboanga Sibugay,1.5,2.0,2.2,PH098300000
Isabela City,1.1,3.2,0.6,PH099700000
Bukidnon,6.5,1.3,2.1,PH101300000
Camiguin,3.4,0.9,1.1,PH101800000
Lanao del Norte,4.9,1.0,2.4,PH103500000
Misamis Occidental,3.2,1.1,1.0,PH104200000
Misamis Oriental,1.3,0.6,0.8,PH104300000
Davao del Norte,2.3,0.5,0.5,PH112300000
Davao del Sur,1.3,0.6,0.5,PH112400000
Davao Oriental,1.3,1.8,1.2,PH112500000
Davao de Oro,1.2,1.3,1.2,PH118200000
Davao Occidental,..,..,3.2,PH118600000
Cotabato,5.1,2.1,2.2,PH124700000
Sarangani,7.0,5.2,3.7,PH128000000
South Cotabato,1.9,1.2,1.1,PH126300000
Sultan Kudarat,7.4,2.5,2.0,PH126500000
Cotabato City,3.2,2.6,2.6,PH129800000
Agusan del Norte,2.6,1.4,2.1,PH160200000
Agusan del Sur,4.2,2.4,2.9,PH160300000
Surigao Del Norte,2.7,2.0,1.6,PH166700000
Surigao Del Sur,2.9,1.3,1.8,PH166800000
Dinagat Islands,2.9,1.8,2.0,PH168500000
Basilan,1.6,8.1,4.0,PH150700000
Lanao del Sur,9.5,7.8,0.1,PH153600000
Maguindanao,4.7,3.7,2.0,PH153800000
Sulu,3.7,7.4,4.5,PH156600000
Tawi-tawi,0.3,0.6,1.8,PH157000000
