Geolocation,Industry Description,Metric,2013,2015,2017,ADM1_CODE
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with web presence,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Administrative support activities,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with web presence,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Application hosting services,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with web presence,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Business Process Management,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with web presence,,,,PH150000000
