"Agricultural Wage Rates of Farm Workers by Type of Wages, Type of Farm Workers, Geolocation, Year and Sex"

"Type of Wages","Type of Farm Workers","Geolocation","1975 ..Male","1975 ..Female","1976 ..Male","1976 ..Female","1977 ..Male","1977 ..Female","1978 ..Male","1978 ..Female","1979 ..Male","1979 ..Female","1980 ..Male","1980 ..Female","1981 ..Male","1981 ..Female","1982 ..Male","1982 ..Female","1983 ..Male","1983 ..Female","1984 ..Male","1984 ..Female","1985 ..Male","1985 ..Female","1986 ..Male","1986 ..Female","1987 ..Male","1987 ..Female","1988 ..Male","1988 ..Female","1989 ..Male","1989 ..Female","1990 ..Male","1990 ..Female","1991 ..Male","1991 ..Female","1992 ..Male","1992 ..Female","1993 ..Male","1993 ..Female","1994 ..Male","1994 ..Female","1995 ..Male","1995 ..Female","1996 ..Male","1996 ..Female","1997 ..Male","1997 ..Female","1998 ..Male","1998 ..Female","1999 ..Male","1999 ..Female","2000 ..Male","2000 ..Female","2001 ..Male","2001 ..Female","2002 ..Male","2002 ..Female","2003 ..Male","2003 ..Female","2004 ..Male","2004 ..Female","2005 ..Male","2005 ..Female","2006 ..Male","2006 ..Female","2007 ..Male","2007 ..Female","2008 ..Male","2008 ..Female","2009 ..Male","2009 ..Female","2010 ..Male","2010 ..Female","2011 ..Male","2011 ..Female","2012 ..Male","2012 ..Female","2013 ..Male","2013 ..Female","2014 ..Male","2014 ..Female","2015 ..Male","2015 ..Female","2016 ..Male","2016 ..Female","2017 ..Male","2017 ..Female","2018 ..Male","2018 ..Female","2019 ..Male","2019 ..Female"
"Nominal Wage Rate","..Palay Workers","..Cordillera Administrative Region (CAR)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.74,80.37,112.11,92.73,123.90,110.38,125.75,111.24,154.49,118.90,156.94,122.32,175.02,129.59,173.31,137.30,172.95,139.66,163.04,144.93,168.03,145.25,176.02,156.17,176.72,157.47,176.61,166.51,201.66,195.27,211.95,199.87,214.04,203.00,223.91,217.12,233.97,220.74,263.13,249.44,278.36,263.49,284.22,268.90,292.13,272.14,277.42,263.26,309.87,290.08,317.54,297.57
"Nominal Wage Rate","..Palay Workers","..Region I (Ilocos Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.88,85.79,110.85,103.16,130.72,119.29,133.22,124.72,148.83,126.64,164.30,135.92,168.72,144.98,169.54,144.92,170.02,150.99,175.25,154.99,180.26,164.00,189.31,162.27,192.89,178.28,212.14,190.56,246.99,227.30,255.46,237.35,265.96,247.57,278.98,249.39,293.13,272.62,301.94,282.54,324.79,300.93,342.57,323.73,341.51,330.14,316.92,313.04,362.29,339.53,368.53,348.62
"Nominal Wage Rate","..Palay Workers","..Region II (Cagayan Valley)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.12,83.11,106.53,90.21,114.26,96.89,123.53,105.53,136.60,117.18,147.98,119.99,152.06,123.26,151.63,132.36,154.30,138.96,158.01,136.25,166.61,143.11,172.39,157.42,178.81,176.71,193.91,189.27,228.71,220.36,232.03,226.03,233.34,226.97,256.85,249.65,282.41,278.34,319.16,290.31,361.31,331.13,389.37,350.79,403.28,366.10,326.71,311.13,321.77,311.75,384.42,367.60
"Nominal Wage Rate","..Palay Workers","..Region III (Central Luzon)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100.18,84.82,119.10,100.74,142.61,111.40,172.37,123.72,186.80,150.42,200.32,152.47,201.36,159.57,208.75,159.00,200.17,170.07,203.29,169.39,211.76,163.92,225.22,181.62,228.55,187.24,241.81,205.35,264.13,226.89,280.37,238.99,294.23,243.51,302.70,257.23,315.69,263.88,357.45,316.14,375.26,332.32,386.90,367.35,395.09,365.94,370.82,317.67,352.40,304.89,353.45,352.80
"Nominal Wage Rate","..Palay Workers","..Southern Tagalog",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,104.25,85.84,116.11,99.35,128.89,105.03,156.24,135.22,158.34,142.11,160.26,141.59,171.99,142.90,173.02,145.90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Palay Workers","..Region IV-A (CALABARZON)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,171.66,158.47,177.54,161.57,194.84,178.21,197.81,179.72,208.28,193.63,228.09,222.50,255.96,243.55,264.49,254.00,288.40,258.34,297.21,277.71,304.79,299.31,311.09,309.22,328.80,326.66,340.06,336.54,341.85,337.75,392.94,361.36,396.36,397.04,423.69,410.20
"Nominal Wage Rate","..Palay Workers","..MIMAROPA Region",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,159.84,139.31,156.75,148.27,156.58,145.28,166.68,152.06,188.64,166.94,194.20,187.82,225.26,206.81,235.12,213.53,253.84,224.25,259.91,229.81,262.96,233.90,278.71,245.82,293.65,260.52,300.30,266.68,304.69,267.70,321.84,249.67,409.86,262.87,422.93,307.46
"Nominal Wage Rate","..Palay Workers","..Region V (Bicol Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83.54,62.83,99.88,71.49,103.15,90.43,115.18,105.57,123.95,107.84,126.84,103.69,137.18,111.01,138.09,117.66,141.15,121.09,143.74,129.25,144.18,129.38,154.01,133.97,159.77,151.86,174.85,161.25,199.60,193.39,201.99,198.53,209.99,201.26,225.99,212.22,228.05,220.72,248.92,232.99,265.30,245.49,276.63,252.97,277.58,253.56,280.27,259.57,321.51,289.66,328.95,305.15
"Nominal Wage Rate","..Palay Workers","..Region VI (Western Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82.77,65.45,100.43,84.05,107.94,90.25,125.97,104.80,131.48,103.22,145.09,112.44,151.05,120.40,155.12,119.94,151.73,117.84,146.73,128.66,155.06,130.63,161.83,134.55,166.42,146.22,169.60,159.43,194.34,175.74,197.90,186.33,208.17,198.51,214.49,206.72,218.47,207.78,231.13,222.74,246.22,236.42,258.60,242.03,260.25,245.82,284.15,253.60,307.54,282.14,310.94,300.74
"Nominal Wage Rate","..Palay Workers","..Region VII (Central Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70.18,65.35,80.15,74.59,80.92,78.86,87.84,85.23,96.64,87.01,89.31,80.59,93.98,89.55,98.80,94.02,106.02,102.75,114.50,106.15,117.63,112.78,121.02,113.67,133.17,122.02,146.36,144.10,161.20,153.99,166.66,158.63,177.43,166.37,185.30,176.06,190.73,179.12,216.78,206.97,227.61,219.21,238.70,226.42,238.53,233.27,249.57,238.29,278.52,252.94,309.09,254.45
