Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Philippines,PHL,2022,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,160190658920.502
Philippines,PHL,2021,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,135073897385.521
Philippines,PHL,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,107434710923.519
Philippines,PHL,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,139138524706.271
Philippines,PHL,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,138068438388.453
Philippines,PHL,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,125524759403.307
Philippines,PHL,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,109420441088.849
Philippines,PHL,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,97762166322.35
Philippines,PHL,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,96127236497.4355
Philippines,PHL,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,85895732027.246
Philippines,PHL,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,87630647546.4725
Philippines,PHL,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,77715948451.0718
Philippines,PHL,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,71658150173.5538
Philippines,PHL,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,57753400213.3668
Philippines,PHL,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,70313142216.7808
Philippines,PHL,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60070416495.4386
Philippines,PHL,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,54155356354.4698
Philippines,PHL,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,48157783195.9057
Philippines,PHL,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,43822000000
Philippines,PHL,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,40639000000
Philippines,PHL,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,38312000000
Philippines,PHL,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,36584000000
Philippines,PHL,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,38668000000
Philippines,PHL,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,34961000000
Philippines,PHL,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,42302000000
Philippines,PHL,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,53494000000
Philippines,PHL,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,44091000000
Philippines,PHL,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,35722000000
Philippines,PHL,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,27919000000
Philippines,PHL,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,22587000000
Philippines,PHL,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,19137000000
Philippines,PHL,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,16324000000
Philippines,PHL,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,16437000000
Philippines,PHL,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14693000000
Philippines,PHL,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11831000000
Philippines,PHL,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10191000000
Philippines,PHL,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8120000000
Philippines,PHL,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8331000000
Philippines,PHL,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9697000000
Philippines,PHL,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11375000000
Philippines,PHL,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11690000000
Philippines,PHL,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11151000000
Philippines,PHL,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10348000000
Philippines,PHL,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8106000000
Philippines,PHL,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6322000000
Philippines,PHL,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5248000000
Philippines,PHL,2022,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-17832025335.8958
Philippines,PHL,2021,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5942749346.45914
Philippines,PHL,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,11578388370.8856
Philippines,PHL,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3046835246.6567
Philippines,PHL,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-8877047441.26577
Philippines,PHL,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2142968677.37995
Philippines,PHL,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1198874442.01674
Philippines,PHL,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,7265677953.83482
Philippines,PHL,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,10755931842.7773
Philippines,PHL,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,11383508584.5927
Philippines,PHL,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,6949480669.31383
Philippines,PHL,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,5642727681.99825
Philippines,PHL,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,7179160967.11621
Philippines,PHL,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,8448167039.24684
Philippines,PHL,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,144020966.589955
Philippines,PHL,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,8071944587.37218
Philippines,PHL,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,6962857691.36552
Philippines,PHL,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990392913.487
