"Table 3. Annual Per Capita Food Threshold and Subsistence Incidence Among Families with Measures of Precision, by Region and Province:  2015, 2018, and 2021p"

"Geolocation";"Annual Per Capita Food Threshold (in PhP) 2015";"Annual Per Capita Food Threshold (in PhP) 2018";"Annual Per Capita Food Threshold (in PhP) 2021p";"Subsistence Incidence among Families (%) 2015";"Subsistence Incidence among Families (%) 2018";"Subsistence Incidence among Families (%) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District 2/, b/, c/";17589;20029;23028;0.9;0.5;0.0;49.6;40.8;..;0.4;0.2;..;0.2;0.2;..;1.6;0.8;..
"....2nd District b/, c/, d/";17589;20029;23028;0.1;0.2;0.3;23.0;49.1;39.3;0.0;0.1;0.1;0.1;0.0;0.1;0.2;0.3;0.4
"....3rd District b/, c/, d/";17589;20029;23028;0.5;0.5;0.2;52.6;37.6;42.4;0.3;0.2;0.1;0.1;0.2;0.1;1.0;0.8;0.4
"....4th District 1/, 2/, b/, c/";17589;20029;23028;0.5;0.0;0.4;46.5;51.9;19.4;0.2;0.0;0.1;0.1;0.0;0.3;0.8;0.1;0.5
"....Abra b/, d/";14870;16488;20475;5.3;4.4;3.4;30.6;15.6;20.5;1.6;0.7;0.7;2.6;3.2;2.3;7.9;5.5;4.6
"....Apayao 2/, b/, d/";16278;16155;17942;11.7;4.2;0.8;52.0;18.3;43.6;6.1;0.8;0.4;1.7;2.9;0.2;21.6;5.5;1.4
"....Benguet 1/, b/, c/, d/";15707;16877;19049;0.3;1.2;0.7;56.7;24.2;23.9;0.2;0.3;0.2;0.0;0.7;0.4;0.7;1.7;1.0
"....Ifugao 1/, b/, c/, d/";17550;18447;20504;15.4;1.1;1.1;33.1;40.1;32.6;5.1;0.4;0.4;7.0;0.4;0.5;23.9;1.8;1.7
"....Kalinga 1/, b/, c/, d/";14824;16923;18220;11.8;1.5;1.1;30.6;29.7;33.1;3.6;0.5;0.4;5.9;0.8;0.5;17.8;2.3;1.7
"....Mt. Province 1/, 2/, b/";17095;19466;21774;11.5;5.6;3.4;25.1;17.1;18.0;2.9;0.9;0.6;6.7;4.0;2.4;16.2;7.1;4.4
"....Ilocos Norte b/, c/";16414;18623;22128;0.3;0.1;0.0;98.9;100.1;..;0.3;0.1;..;0.0;0.0;..;0.9;0.2;0.0
"....Ilocos Sur 1/, 2/, b/, c/";16449;17240;22852;1.9;0.6;3.4;37.1;37.6;19.5;0.7;0.2;0.7;0.7;0.2;2.3;3.1;1.0;4.4
"....La Union 1/, 2/, b/, c/, d/";15282;15651;19547;5.7;0.2;1.0;31.7;58.6;25.8;1.8;0.1;0.3;2.7;0.0;0.6;8.7;0.4;1.5
"....Pangasinan 1/, 2/, c/";15892;19396;21848;3.8;1.5;3.8;18.7;25.9;15.4;0.7;0.4;0.6;2.6;0.9;2.8;4.9;2.2;4.7
"....Batanes 1/, 2/, a/, c/, d/";21942;26184;25263;0.0;1.3;0.2;..;30.2;98.3;..;0.4;0.2;..;0.7;0.0;0.0;2.0;0.4
