"Table 10. Income Gap with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Income Gap (%) 2015";"Income Gap (%) 2018";"Income Gap (%) 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District 2/";19.9;18.7;9.1;3.9;3.2;1.7;13.5;13.5;6.3;26.4;24.0;11.9
"....2nd District";15.1;13.7;15.6;1.5;2.1;1.6;12.6;10.2;13.0;17.5;17.1;18.1
"....3rd District";15.7;16.3;13.9;2.3;2.7;1.1;11.8;11.8;12.2;19.5;20.8;15.7
"....4th District";16.2;14.7;15.9;2.5;1.4;0.9;12.1;12.4;14.4;20.3;17.1;17.4
"....Abra 2/";19.6;23.4;19.3;2.0;1.2;1.2;16.4;21.3;17.2;22.9;25.4;21.3
"....Apayao";24.1;21.2;18.5;3.0;1.4;2.0;19.2;18.9;15.2;28.9;23.4;21.8
"....Benguet 1/";14.7;20.8;20.1;2.1;1.5;1.5;11.2;18.3;17.7;18.2;23.3;22.5
"....Ifugao 1/";27.4;16.4;16.3;3.5;1.4;1.3;21.6;14.0;14.1;33.3;18.7;18.5
"....Kalinga 1/";24.8;18.4;19.0;2.4;1.5;1.7;20.8;15.9;16.2;28.8;20.9;21.8
"....Mt. Province 2/";24.3;23.4;20.0;2.8;1.1;1.0;19.7;21.7;18.3;29.0;25.2;21.7
"....Ilocos Norte 1/";14.4;10.1;12.0;2.2;1.1;1.7;10.8;8.2;9.3;18.1;11.9;14.8
"....Ilocos Sur 2/";16.8;15.7;20.7;2.2;1.3;1.6;13.2;13.5;18.1;20.5;17.8;23.3
"....La Union 1/, 2/";25.7;13.3;18.1;3.2;1.5;1.1;20.4;10.8;16.2;30.9;15.8;20.0
"....Pangasinan 2/";19.4;17.3;21.3;1.2;1.3;1.1;17.5;15.2;19.5;21.3;19.3;23.2
"....Batanes 1/, a/";0.2;18.5;14.2;0.0;2.1;1.6;0.0;15.1;11.5;0.0;21.9;16.9
"....Cagayan";20.2;19.0;18.1;1.2;1.1;1.4;18.3;17.2;15.7;22.2;20.8;20.5
"....Isabela 1/";16.2;19.5;21.4;1.0;1.1;1.2;14.6;17.7;19.4;17.8;21.4;23.4
"....Nueva Vizcaya";19.9;20.3;21.3;2.7;1.2;2.1;15.4;18.3;17.8;24.4;22.4;24.7
"....Quirino";19.5;16.8;15.6;1.9;1.4;1.3;16.4;14.6;13.4;22.6;19.1;17.7
"....Aurora 1/, 2/, a/";26.9;18.7;21.8;1.6;1.4;1.3;24.2;16.4;19.7;29.5;20.9;23.9
"....Bataan 1/";15.9;19.5;17.4;0.0;1.7;1.9;15.9;16.7;14.2;15.9;22.3;20.6
"....Bulacan";18.7;17.2;19.7;2.3;2.3;2.1;15.0;13.5;16.3;22.4;21.0;23.1
"....Nueva Ecija";20.0;17.0;16.6;1.8;1.5;1.3;17.0;14.5;14.5;23.0;19.6;18.7
"....Pampanga";11.8;14.6;13.6;2.4;2.1;1.5;7.8;11.2;11.1;15.7;18.1;16.1
