"Table 5. Magnitude of Poor Families with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Estimate ('000) 2015";"Estimate ('000) 2018";"Estimate ('000) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District b/, c/, d/";13.63;9.01;5.29;27.38;31.55;32.74;3.73;2.84;1.73;7.49;4.33;2.44;19.77;13.68;8.14
"....2nd District b/, c/";22.28;16.47;19.79;22.75;20.40;16.05;5.07;3.36;3.18;13.94;10.94;14.56;30.62;22.00;25.01
"....3rd District b/";24.00;15.11;23.36;21.44;15.06;11.80;5.15;2.28;2.76;15.53;11.36;18.83;32.47;18.85;27.90
"....4th District b/";26.19;7.00;27.72;21.11;14.68;9.66;5.53;1.03;2.68;17.09;5.31;23.32;35.29;8.69;32.12
"....Abra b/";12.21;8.19;9.19;30.31;9.38;9.22;3.70;0.77;0.85;6.12;6.93;7.80;18.30;9.45;10.58
"....Apayao b/, d/";8.43;4.27;1.30;43.94;16.15;23.17;3.71;0.69;0.30;2.34;3.14;0.81;14.53;5.41;1.80
"....Benguet b/";4.91;9.09;9.01;27.57;14.23;10.96;1.35;1.29;0.99;2.68;6.96;7.38;7.13;11.22;10.63
"....Ifugao b/";14.66;4.46;2.83;33.33;15.36;18.16;4.89;0.68;0.51;6.62;3.33;1.98;22.70;5.58;3.67
"....Kalinga b/";14.59;4.03;2.56;32.95;12.72;19.51;4.81;0.51;0.50;6.68;3.19;1.74;22.50;4.87;3.38
"....Mt. Province b/";12.83;6.31;5.85;34.85;10.23;9.85;4.47;0.64;0.58;5.47;5.25;4.90;20.19;7.37;6.79
"....Ilocos Norte b/, c/, d/";7.59;4.49;2.65;41.85;22.56;28.69;3.17;1.01;0.76;2.36;2.83;1.40;12.81;6.16;3.90
"....Ilocos Sur b/";17.07;8.96;19.59;34.39;14.89;10.96;5.87;1.33;2.15;7.41;6.76;16.05;26.72;11.15;23.12
"....La Union b/";29.87;5.50;13.36;28.42;19.68;14.13;8.49;1.08;1.89;15.90;3.72;10.26;43.85;7.29;16.47
"....Pangasinan";106.39;66.20;103.60;14.71;12.17;9.11;15.65;8.05;9.44;80.63;52.95;88.07;132.14;79.44;119.12
