"Table 6. Magnitude of Poor Population with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Magnitude of Poor Population ('000) 2015";"Magnitude of Poor Population ('000) 2018";"Magnitude of Poor Population ('000) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District b/, c/, d/";88.24;55.28;32.12;29.17;31.69;33.07;25.74;17.52;10.62;45.89;26.46;14.65;130.58;84.10;49.59
"....2nd District b/, c/";139.64;110.97;139.69;22.79;23.38;16.26;31.83;25.94;22.71;87.28;68.30;102.33;192.01;153.65;177.05
"....3rd District b/";124.75;94.41;144.67;21.60;16.16;11.87;26.94;15.26;17.17;80.41;69.31;116.43;169.08;119.52;172.91
"....4th District b/";170.21;41.50;166.01;20.84;15.26;9.64;35.46;6.33;16.00;111.86;31.09;139.69;228.56;51.92;192.32
"....Abra b/";74.20;45.65;53.52;30.52;9.53;9.27;22.65;4.35;4.96;36.94;38.50;45.36;111.46;52.81;61.67
"....Apayao b/, d/";43.10;24.04;8.47;43.15;16.39;22.20;18.60;3.94;1.88;12.50;17.56;5.38;73.69;30.52;11.56
"....Benguet b/";28.50;49.33;48.21;27.83;14.52;11.26;7.93;7.16;5.43;15.45;37.55;39.28;41.55;61.11;57.14
"....Ifugao b/";85.92;30.13;17.11;33.11;15.28;17.44;28.44;4.60;2.98;39.11;22.55;12.20;132.72;37.70;22.02
"....Kalinga b/";88.44;26.31;18.45;33.01;13.31;19.65;29.19;3.50;3.63;40.41;20.55;12.49;136.48;32.06;24.42
"....Mt. Province b/";70.08;38.37;34.96;34.03;11.17;9.94;23.85;4.28;3.47;30.84;31.32;29.24;109.32;45.42;40.67
"....Ilocos Norte b/, c/, d/";48.71;27.09;15.50;41.08;20.40;26.37;20.01;5.53;4.09;15.79;18.00;8.78;81.64;36.18;22.23
"....Ilocos Sur b/";96.82;52.92;108.46;32.39;15.15;10.99;31.36;8.02;11.92;45.22;39.73;88.86;148.42;66.11;128.07
"....La Union b/, c/";157.56;35.98;77.31;28.53;20.73;13.79;44.95;7.46;10.66;83.60;23.71;59.77;231.52;48.25;94.85
"....Pangasinan";641.32;394.15;561.48;15.27;11.69;8.88;97.90;46.09;49.86;480.23;318.33;479.45;802.41;469.97;643.50
"....Batanes a/, b/, c/, d/";2.49;1.68;0.61;100.00;25.57;27.35;2.49;0.43;0.17;0.00;0.98;0.33;6.58;2.39;0.88
"....Cagayan b/";196.30;199.17;129.91;20.82;9.87;13.17;40.88;19.66;17.12;129.04;166.83;101.75;263.56;231.51;158.06
