"Table 7. Magnitude of Subsistence Poor Families with Measures of Precision, by Region and Province:  2015, 2018, and 2021p"

"Geolocation";"Magnitude of Subsistence Poor Families ('000) 2015";"Magnitude of Subsistence Poor Families ('000) 2018";"Magnitude of Subsistence Poor Families ('000) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District b/, c/";3.32;2.16;0.00;51.47;40.38;..;1.71;0.87;..;0.51;0.72;..;6.12;3.59;..
"....2nd District b/, c/, d/";1.52;2.16;3.18;21.74;49.09;39.67;0.33;1.06;1.26;0.98;0.42;1.10;2.07;3.91;5.25
"....3rd District b/, c/, d/";3.65;3.29;1.60;53.09;38.74;42.34;1.94;1.28;0.68;0.46;1.20;0.49;6.85;5.39;2.71
"....4th District b/, c/";3.94;0.46;4.31;46.76;52.01;19.54;1.84;0.24;0.84;0.91;0.07;2.93;6.96;0.85;5.70
"....Abra b/";3.23;2.44;1.98;40.27;15.66;20.00;1.30;0.38;0.40;1.09;1.81;1.33;5.37;3.06;2.63
"....Apayao b/, c/, d/";2.58;1.12;0.23;64.57;20.33;44.59;1.67;0.23;0.10;0.00;0.75;0.06;5.33;1.50;0.39
"....Benguet b/, c/, d/";0.65;2.59;1.59;57.91;24.27;23.82;0.37;0.63;0.38;0.03;1.56;0.97;1.26;3.62;2.22
"....Ifugao b/, c/, d/";6.48;0.50;0.53;42.38;40.29;32.45;2.74;0.20;0.17;1.96;0.17;0.25;10.99;0.83;0.81
"....Kalinga b/, c/, d/";5.00;0.67;0.51;42.12;30.03;33.43;2.11;0.20;0.17;1.54;0.34;0.23;8.47;1.00;0.79
"....Mt. Province b/";4.44;2.05;1.29;38.16;17.22;17.46;1.69;0.35;0.22;1.65;1.47;0.92;7.22;2.63;1.66
"....Ilocos Norte b/, c/";0.47;0.10;0.00;100.00;100.00;..;0.47;0.10;..;0.00;0.00;..;1.25;0.26;..
"....Ilocos Sur b/, c/, d/";3.03;0.98;5.73;46.45;38.05;20.06;1.41;0.37;1.15;0.71;0.37;3.84;5.35;1.60;7.62
"....La Union b/, c/, d/";12.64;0.38;2.07;37.74;58.12;25.93;4.77;0.22;0.54;4.79;0.02;1.19;20.49;0.75;2.96
"....Pangasinan  b/, c/";23.62;10.80;28.19;22.16;25.63;16.01;5.23;2.77;4.51;15.01;6.25;20.77;32.23;15.35;35.61
"....Batanes a/, c/, d/";0.00;0.07;0.01;..;36.18;100.00;..;0.02;0.01;..;0.03;0.00;..;0.11;0.02
"....Cagayan b/, d/";7.84;8.71;3.68;29.87;17.26;29.31;2.34;1.50;1.08;3.99;6.24;1.91;11.69;11.18;5.46
"....Isabela";6.06;11.85;16.48;27.49;21.06;19.63;1.67;2.49;3.23;3.32;7.74;11.16;8.80;15.95;21.80
"....Nueva Vizcaya b/, c/, d/";2.89;4.09;3.81;50.02;23.46;31.52;1.45;0.96;1.20;0.51;2.51;1.83;5.28;5.67;5.78
"....Quirino b/, c/, d/";2.02;0.66;0.40;57.98;29.42;29.89;1.17;0.19;0.12;0.09;0.34;0.20;3.95;0.98;0.60
"....Aurora  a/, b/, c/";6.93;1.29;2.64;57.07;23.45;19.62;3.96;0.30;0.52;0.42;0.80;1.79;13.44;1.79;3.49
"....Bataan c/, d/";0.00;2.61;3.92;..;24.31;26.85;..;0.64;1.05;..;1.57;2.19;..;3.66;5.65
"....Bulacan b/, c/, d/";5.30;5.21;13.76;37.82;32.97;34.02;2.00;1.72;4.68;2.00;2.39;6.06;8.59;8.04;21.46
"....Nueva Ecija b/, c/, d/";22.56;4.54;9.01;34.39;29.54;24.29;7.76;1.34;2.19;9.79;2.33;5.41;35.32;6.74;12.60
"....Pampanga b/, c/, d/";0.66;1.25;2.54;100.00;77.66;35.38;0.66;0.97;0.90;0.00;0.00;1.06;1.74;2.86;4.01
"....Tarlac b/, c/, d/";10.57;4.33;5.66;30.33;24.55;21.65;3.20;1.06;1.22;5.29;2.58;3.64;15.84;6.07;7.67
"....Zambales b/";5.87;7.32;10.36;45.74;19.93;14.29;2.68;1.46;1.48;1.45;4.92;7.93;10.28;9.72;12.80
"....Batangas b/, c/, d/";35.38;7.56;4.75;24.58;26.51;36.66;8.69;2.00;1.74;21.07;4.26;1.89;49.68;10.86;7.62
"....Cavite b/, c/, d/";12.48;8.98;16.71;35.92;33.45;32.49;4.48;3.00;5.43;5.10;4.04;7.78;19.85;13.92;25.64
"....Laguna b/, c/, d/";6.29;1.85;14.32;44.20;58.89;25.01;2.78;1.09;3.58;1.72;0.06;8.43;10.87;3.64;20.21
"....Quezon b/, c/";28.79;13.30;25.61;28.48;23.11;17.74;8.20;3.07;4.54;15.30;8.24;18.14;42.28;18.35;33.08
"....Rizal b/, c/, d/";4.26;5.17;4.29;40.88;37.55;34.52;1.74;1.94;1.48;1.39;1.98;1.86;7.12;8.36;6.73
"....Marinduque b/, c/";1.46;1.44;1.78;57.66;21.59;19.38;0.84;0.31;0.34;0.08;0.93;1.21;2.85;1.95;2.34
"....Occidental Mindoro b/, c/";16.20;6.32;12.09;36.49;24.69;14.82;5.91;1.56;1.79;6.47;3.75;9.14;25.93;8.89;15.03
"....Oriental Mindoro b/, c/, d/";12.85;3.89;11.55;37.76;31.46;20.84;4.85;1.22;2.41;4.87;1.88;7.59;20.84;5.90;15.52
"....Palawan b/, c/, d/";5.11;5.15;6.29;41.75;29.28;26.10;2.13;1.51;1.64;1.60;2.67;3.59;8.63;7.63;8.99
"....Romblon b/";5.13;3.60;7.25;37.72;16.94;12.70;1.94;0.61;0.92;1.95;2.60;5.73;8.32;4.60;8.76
"....Albay b/";18.41;9.28;12.02;25.80;18.49;18.19;4.75;1.72;2.19;10.60;6.46;8.43;26.23;12.10;15.62
