"Table 8. Magnitude of Subsistence Poor Population  with Measures of Precision, by Region and Province:  2015, 2018, and 2021p"

"Geolocation";"Magnitude of Subsistence Poor Population ('000) 2015";"Magnitude of Subsistence Poor Population ('000) 2018";"Magnitude of Subsistence Poor Population ('000) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District b/, c/";25.26;12.83;0.00;51.04;46.83;..;12.89;6.01;..;4.05;2.95;..;46.48;22.71;..
"....2nd District b/, c/, d/";15.71;13.54;26.11;44.83;50.11;43.81;7.04;6.79;11.44;4.12;2.38;7.30;27.30;24.71;44.93
"....3rd District b/, c/, d/";20.29;24.86;12.08;50.43;37.73;40.57;10.24;9.38;4.90;3.45;9.43;4.02;37.14;40.29;20.14
"....4th District b/, c/, d/";22.84;2.84;25.37;48.47;48.43;20.32;11.07;1.38;5.15;4.62;0.58;16.89;41.05;5.11;33.85
"....Abra b/";23.18;14.62;13.17;41.77;15.82;19.97;9.68;2.31;2.63;7.25;10.82;8.84;39.11;18.43;17.49
"....Apayao b/, c/,  d/";13.65;6.87;1.46;65.07;20.24;43.98;8.88;1.39;0.64;0.00;4.58;0.40;28.27;9.15;2.52
"....Benguet b/, c/, d/";3.31;14.41;9.40;60.05;23.65;24.64;1.99;3.41;2.32;0.04;8.81;5.59;6.59;20.02;13.21
"....Ifugao b/, c/, d/";40.06;3.74;3.24;43.70;41.63;32.56;17.50;1.56;1.05;11.26;1.18;1.50;68.86;6.31;4.97
"....Kalinga b/, c/, d/";32.12;4.71;4.15;40.64;30.30;37.02;13.05;1.43;1.53;10.64;2.36;1.62;53.60;7.06;6.67
"....Mt. Province b/";26.13;14.41;8.25;38.25;18.21;17.77;9.99;2.62;1.47;9.68;10.09;5.84;42.57;18.72;10.66
"....Ilocos Norte b/, c/";4.49;1.01;0.00;100.00;100.00;0.00;4.49;1.01;..;0.00;0.00;..;11.88;2.68;..
"....Ilocos Sur  b/, c/";16.29;6.79;34.61;46.21;37.42;19.63;7.53;2.54;6.79;3.90;2.61;23.44;28.68;10.96;45.79
"....La Union b/, c/, d/";72.33;3.07;12.82;37.73;60.02;26.37;27.29;1.84;3.38;27.43;0.04;7.26;117.23;6.09;18.39
"....Pangasinan b/, c/";163.04;78.91;163.88;23.49;26.21;16.43;38.31;20.68;26.92;100.02;44.89;119.59;226.07;112.94;208.17
"....Batanes a/, c/, d/";0.00;0.37;0.05;..;40.18;100.00;..;0.15;0.05;..;0.13;0.00;..;0.62;0.12
"....Cagayan b/, d/";42.38;51.31;24.31;29.19;17.75;29.09;12.37;9.11;7.07;22.03;36.33;12.67;62.74;66.29;35.94
"....Isabela b/, c/";41.38;73.39;94.68;29.65;20.65;19.29;12.27;15.16;18.26;21.19;48.46;64.64;61.56;98.32;124.73
"....Nueva Vizcaya b/, c/, d/";19.42;23.96;21.82;48.12;22.91;29.63;9.34;5.49;6.47;4.04;14.93;11.18;34.79;32.99;32.46
"....Quirino b/, c/, d/";14.62;4.73;2.57;63.77;31.48;31.40;9.32;1.49;0.81;0.00;2.28;1.24;29.96;7.18;3.89
"....Aurora a/, b/, c/";39.02;8.53;15.79;52.00;22.97;19.55;20.29;1.96;3.09;5.64;5.31;10.71;72.41;11.75;20.87
"....Bataan  c/, d/";0.00;16.63;23.32;..;24.63;27.49;..;4.10;6.41;..;9.89;12.78;..;23.37;33.87
"....Bulacan b/, c/, d/";33.81;39.38;91.41;40.62;35.09;36.18;13.73;13.82;33.07;11.21;16.65;37.01;56.41;62.12;145.81
"....Nueva Ecija b, c/, d/";123.97;30.58;65.98;32.43;31.81;24.49;40.21;9.73;16.16;57.81;14.58;39.40;190.12;46.58;92.56
"....Pampanga b/, c/, d/";7.43;8.13;18.07;100.00;71.42;35.34;7.43;5.81;6.38;0.00;0.00;7.56;19.66;17.68;28.57
"....Tarlac b/, c/, d/";57.00;27.10;39.86;31.80;25.00;21.92;18.13;6.77;8.74;27.18;15.96;25.49;86.83;38.25;54.24
"....Zambales b/, c/";39.82;42.34;66.77;45.86;21.63;14.18;18.26;9.16;9.47;9.77;27.28;51.19;69.87;57.41;82.34
"....Batangas b/, c/, d/";220.62;44.86;31.03;23.83;26.20;35.88;52.57;11.75;11.13;134.11;25.52;12.72;307.12;64.19;49.35
