"Table 4. Annual Per Capita Food Threshold and Subsistence Incidence Among Population with Measures of Precision, by Region and Province:  2015, 2018, and 2021p"

"Geolocation";"Annual Per Capita Food Threshold  (in PhP) 2015";"Annual Per Capita Food Threshold  (in PhP) 2018";"Annual Per Capita Food Threshold  (in PhP) 2021p";"Estimates (%) 2015";"Estimates (%) 2018";"Estimates (%) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District 2/, b/, c/";17589;20029;23028;1.6;0.7;0.0;48.5;47.1;..;0.8;0.3;..;0.3;0.2;..;2.8;1.2;..
"....2nd District b/, c/, d/";17589;20029;23028;0.3;0.3;0.5;45.5;50.1;43.0;0.1;0.1;0.2;0.1;0.0;0.2;0.6;0.5;0.9
"....3rd District b/, c/, d/";17589;20029;23028;0.7;0.9;0.4;49.7;36.7;40.6;0.4;0.3;0.2;0.1;0.3;0.1;1.3;1.4;0.7
"....4th District 1/, 2/, b/, c/";17589;20029;23028;0.6;0.1;0.6;48.5;48.4;20.1;0.3;0.0;0.1;0.1;0.0;0.4;1.2;0.1;0.8
"....Abra b/, d/";14870;16488;20475;9.0;6.0;5.3;30.4;15.8;20.0;2.7;0.9;1.1;4.5;4.4;3.6;13.6;7.5;7.0
"....Apayao 2/, b/, d/";16278;16155;17942;13.7;5.6;1.2;52.2;18.0;43.1;7.2;1.0;0.5;1.9;4.0;0.3;25.5;7.3;2.0
"....Benguet 1/, b/, c/, d/";15707;16877;19049;0.4;1.7;1.1;58.8;23.5;24.6;0.2;0.4;0.3;0.0;1.1;0.7;0.8;2.4;1.5
"....Ifugao 1/, b/, c/, d/";17550;18447;20504;19.8;1.8;1.5;35.2;41.1;33.0;7.0;0.7;0.5;8.3;0.6;0.7;31.2;3.0;2.4
"....Kalinga 1/, b/, c/, d/";14824;16923;18220;14.8;2.2;1.9;29.3;29.9;36.6;4.3;0.6;0.7;7.7;1.1;0.7;21.9;3.2;3.0
"....Mt. Province 1/, 2/, b/";17095;19466;21774;16.7;9.2;5.2;23.2;16.8;17.6;3.9;1.6;0.9;10.3;6.7;3.7;23.0;11.8;6.8
"....Ilocos Norte b/, c/";16414;18623;22128;0.7;0.2;0.0;98.1;100.2;..;0.7;0.2;..;0.0;0.0;..;1.9;0.4;..
"....Ilocos Sur 1/, 2/, b/, c/";16449;17240;22852;2.3;1.0;4.8;36.1;37.0;19.3;0.8;0.4;0.9;1.0;0.4;3.3;3.7;1.5;6.3
"....La Union 1/, 2/, b/, c/, d/";15282;15651;19547;8.0;0.4;1.5;31.2;60.3;26.0;2.5;0.2;0.4;3.9;0.0;0.9;12.2;0.8;2.2
"....Pangasinan 1/, 2/, c/";15892;19396;21848;5.8;2.6;5.2;19.4;26.1;15.6;1.1;0.7;0.8;3.9;1.5;3.9;7.6;3.7;6.6
"....Batanes 1/, 2/, a/, c/, d/";21942;26184;25263;0.0;2.1;0.3;..;34.4;97.4;..;0.7;0.2;..;0.9;0.0;..;3.3;0.7
"....Cagayan 2/, b/, d/";14969;17322;19289;3.6;4.1;1.9;24.4;17.6;29.5;0.9;0.7;0.6;2.2;2.9;1.0;5.0;5.3;2.8
"....Isabela 1/, b/";16292;17791;20516;2.5;4.4;5.6;25.8;19.5;18.4;0.6;0.9;1.0;1.4;3.0;3.9;3.5;5.9;7.2
"....Nueva Vizcaya b/, c/, d/";16464;17353;17809;5.2;5.1;4.5;40.4;22.8;28.3;2.1;1.2;1.3;1.7;3.2;2.4;8.6;7.0;6.6
"....Quirino b/, c/, d/";15085;16408;19470;7.4;2.4;1.3;48.9;31.4;30.2;3.6;0.8;0.4;1.5;1.2;0.6;13.4;3.7;1.9
"....Aurora 1/, 2/, a/, c/";15827;17552;20417;17.6;3.8;6.9;13.9;22.7;19.4;2.4;0.9;1.3;13.6;2.4;4.7;21.7;5.3;9.1
"....Bataan 1/, c/, d/";15703;20705;21528;0.0;2.1;2.7;..;24.7;26.7;..;0.5;0.7;..;1.2;1.5;0.0;2.9;4.0
"....Bulacan 2/, b/, c/, d/";14797;18921;24275;1.0;1.1;2.5;39.6;33.5;33.3;0.4;0.4;0.8;0.3;0.5;1.1;1.6;1.7;3.8
"....Nueva Ecija 1/, b/, c/, d/";16071;17737;20363;5.1;1.3;2.8;27.7;31.6;24.5;1.4;0.4;0.7;2.8;0.6;1.6;7.4;2.0;3.9
"....Pampanga b/, c/, d/";15526;18355;23795;0.3;0.3;0.6;98.7;71.0;35.7;0.3;0.2;0.2;0.0;0.0;0.3;0.8;0.6;1.0
"....Tarlac 1/, b/, c/, d/";15550;17729;20649;4.1;1.9;2.7;26.4;25.0;21.2;1.1;0.5;0.6;2.3;1.1;1.8;5.8;2.7;3.6
"....Zambales b/";18759;20888;23960;6.4;4.9;7.4;36.4;21.1;13.5;2.3;1.0;1.0;2.6;3.2;5.7;10.3;6.6;9.0
"....Batangas 1/,  c/, d/";20996;23245;21395;7.9;1.6;1.0;19.7;25.8;33.9;1.6;0.4;0.3;5.4;0.9;0.4;10.5;2.2;1.6
"....Cavite b/, c/, d/";19202;20392;24884;2.5;1.3;2.4;33.4;36.5;28.8;0.8;0.5;0.7;1.1;0.5;1.3;3.9;2.1;3.6
"....Laguna 2/, b/, c/, d/";14823;16894;20669;1.0;0.3;2.4;42.2;61.9;24.3;0.4;0.2;0.6;0.3;0.0;1.4;1.7;0.7;3.3
"....Quezon 1/, 2/, b/, c/";14593;15914;18945;7.7;4.1;6.6;25.3;22.1;17.4;1.9;0.9;1.1;4.5;2.6;4.7;10.9;5.6;8.5
"....Rizal b/, c/, d/";17676;20004;21902;1.1;1.0;0.9;42.4;37.8;34.0;0.5;0.4;0.3;0.3;0.4;0.4;1.9;1.6;1.5
"Marinduque b/, c/";13932;16788;19392;2.8;4.0;4.9;50.3;23.2;18.2;1.4;0.9;0.9;0.5;2.5;3.4;5.2;5.5;6.4
"....Occidental Mindoro 1/, 2/, b/, c/";13951;14923;18609;23.0;7.6;13.3;20.4;22.8;13.9;4.7;1.7;1.9;15.2;4.8;10.3;30.7;10.5;16.4
"....Oriental Mindoro 1/, 2/, b/, c/, d/";14193;16922;18371;9.8;3.0;8.2;34.7;31.0;18.8;3.4;0.9;1.5;4.2;1.5;5.7;15.4;4.6;10.8
"....Palawan b/, c/, d/";13740;16308;16788;3.5;2.9;3.3;38.0;27.3;26.4;1.3;0.8;0.9;1.3;1.6;1.9;5.6;4.2;4.7
"....Romblon 2/, b/";15253;16794;20122;9.1;8.0;14.1;23.7;16.2;11.6;2.2;1.3;1.6;5.6;5.9;11.4;12.6;10.1;16.8
"....Albay 1/";15618;17391;19083;10.9;5.4;6.2;19.2;20.0;19.5;2.1;1.1;1.2;7.4;3.6;4.2;14.3;7.2;8.2
"....Camarines Norte 1/, b/";16702;17512;19217;18.3;8.1;5.5;21.8;16.5;15.0;4.0;1.3;0.8;11.8;5.9;4.1;24.9;10.3;6.8
"....Camarines Sur 2/, b/";15984;16926;19998;10.4;8.1;14.8;20.1;15.5;10.6;2.1;1.2;1.6;7.0;6.0;12.2;13.8;10.1;17.4
"....Catanduanes 1/, b/";15131;17035;19569;16.9;5.2;6.2;26.8;17.6;16.0;4.5;0.9;1.0;9.5;3.7;4.6;24.4;6.7;7.8
"....Masbate 1/, b/";14250;15985;17828;14.8;7.6;9.4;21.8;15.6;15.3;3.2;1.2;1.4;9.5;5.7;7.0;20.1;9.5;11.8
"....Sorsogon 1/";16245;18172;18931;22.3;6.6;8.5;18.1;14.6;14.5;4.0;1.0;1.2;15.7;5.0;6.4;29.0;8.1;10.5
"....Aklan 2/, b/, c/";15491;16539;18752;0.9;1.9;6.7;96.6;36.9;16.1;0.9;0.7;1.1;0.0;0.7;4.9;2.3;3.0;8.5
"....Antique 2/, b/";14432;16820;18604;7.3;5.2;8.0;60.7;17.2;17.1;4.4;0.9;1.4;0.0;3.7;5.8;14.6;6.7;10.3
"....Capiz 2/, b/, c/, d/";14455;15798;18747;2.6;0.4;1.4;75.7;57.5;31.1;2.0;0.2;0.4;0.0;0.0;0.7;5.8;0.7;2.2
"....Guimaras 1/, a/, c/, d/";16289;18054;19431;0.0;0.9;1.2;..;56.6;40.5;..;0.5;0.5;..;0.1;0.4;..;1.8;2.0
"....Iloilo 1/, 2/, c/";15963;18203;19443;8.5;3.2;6.1;19.4;25.9;17.8;1.7;0.8;1.1;5.8;1.9;4.3;11.2;4.6;7.9
"....Negros Occidental 1/, b/, c/";15025;16541;18685;11.1;6.2;5.6;19.6;19.7;15.4;2.2;1.2;0.9;7.5;4.2;4.2;14.7;8.3;7.0
"....Bohol 1/, 2/";15769;18245;18743;13.9;4.3;8.1;18.0;18.4;12.1;2.5;0.8;1.0;9.8;3.0;6.5;18.0;5.6;9.8
"....Cebu 1/, 2/, c/";16083;17959;23400;9.5;3.4;11.8;13.2;21.8;10.8;1.3;0.7;1.3;7.5;2.2;9.7;11.6;4.6;13.9
"....Negros Oriental 1/";15400;17548;18184;21.4;10.5;10.8;16.2;16.8;15.3;3.5;1.8;1.7;15.7;7.6;8.1;27.0;13.4;13.6
"....Siquijor 1/, 2/, a/, b/, c/";15145;17895;17847;22.8;3.4;0.0;35.2;36.0;..;8.0;1.2;..;9.6;1.4;..;36.0;5.4;..
"....Biliran 1/, 2/, c/";14924;16868;20331;8.1;3.5;10.1;21.9;22.3;12.8;1.8;0.8;1.3;5.2;2.2;8.0;11.0;4.9;12.2
"....Eastern Samar 2/, b/";17708;20299;20192;30.5;22.0;17.1;24.0;8.3;10.2;7.3;1.8;1.8;18.5;19.0;14.2;42.6;25.0;20.0
"....Leyte";14954;16456;18538;10.8;8.6;10.3;14.0;12.6;13.8;1.5;1.1;1.4;8.3;6.8;7.9;13.3;10.4;12.6
"....Northern Samar 1/, 2/";15883;18090;18569;38.8;10.6;5.8;15.2;12.9;15.0;5.9;1.4;0.9;29.1;8.3;4.4;48.5;12.8;7.2
"....Southern Leyte 1/, b/";16731;17984;20114;20.7;5.9;6.0;29.3;14.9;15.8;6.1;0.9;0.9;10.7;4.4;4.5;30.7;7.3;7.6
"....Samar 1/, b/";14878;16131;17620;22.8;9.6;12.7;25.9;16.6;12.6;5.9;1.6;1.6;13.1;7.0;10.1;32.5;12.2;15.3
"....Zamboanga del Norte 1/";16964;19857;23572;34.0;22.0;25.8;11.9;9.8;9.0;4.1;2.2;2.3;27.4;18.5;22.0;40.7;25.6;29.6
"....Zamboanga del Sur b/";14173;16608;16731;7.9;6.7;6.0;22.2;15.1;15.0;1.8;1.0;0.9;5.0;5.1;4.5;10.8;8.4;7.4
"....Zamboanga Sibugay 1/, b/";14869;16088;17260;6.7;12.4;12.4;35.7;14.4;12.2;2.4;1.8;1.5;2.8;9.4;9.9;10.7;15.3;14.9
"....Isabela City 1/, 2/, a/, b/, d/";15899;18067;16723;9.1;18.4;2.7;21.1;16.7;26.8;1.9;3.1;0.7;5.9;13.4;1.5;12.2;23.5;3.9
"....Bukidnon 1/, 2/";16730;17874;20359;32.8;8.0;11.5;11.4;13.4;14.8;3.7;1.1;1.7;26.7;6.3;8.7;39.0;9.8;14.3
"....Camiguin a/, b/, c/";16631;18151;19981;13.3;5.2;5.9;56.7;22.7;18.1;7.5;1.2;1.1;0.9;3.3;4.2;25.6;7.2;7.7
"....Lanao del Norte 1/, 2/, b/";15638;17062;19916;25.3;6.3;14.8;20.2;13.6;14.0;5.1;0.8;2.1;16.9;4.9;11.4;33.8;7.6;18.3
"....Misamis Occidental 1/, b/";15487;17092;21046;15.8;6.6;6.1;21.1;20.2;18.2;3.3;1.3;1.1;10.3;4.4;4.3;21.2;8.8;8.0
"....Misamis Oriental 1/, 2/, b/";15385;16835;19650;7.6;3.6;5.1;25.0;14.9;12.2;1.9;0.5;0.6;4.5;2.7;4.1;10.7;4.5;6.2
"....Davao del Norte 1/, b/, c/, d/";16659;19031;19095;11.6;3.3;2.9;36.0;27.2;36.2;4.2;0.9;1.1;4.7;1.8;1.2;18.5;4.7;4.6
"....Davao del Sur 1/, c/, d/";16099;18036;20785;7.8;3.4;2.9;18.8;31.0;21.1;1.5;1.1;0.6;5.4;1.7;1.9;10.2;5.1;3.9
"....Davao Oriental 2/, b/, d/";16001;18319;19302;8.9;11.5;7.7;22.6;11.7;22.8;2.0;1.3;1.8;5.6;9.3;4.8;12.2;13.8;10.6
"....Davao de Oro b/";15483;18066;18360;6.4;7.8;7.0;26.9;14.0;19.7;1.7;1.1;1.4;3.6;6.0;4.7;9.2;9.5;9.2
"....Davao Occidental e/";..;17642;19909;..;12.9;18.7;..;15.8;12.5;..;2.0;2.3;..;9.5;14.8;..;16.2;22.5
"....Cotabato 1/";14816;17507;19234;25.2;11.8;13.8;13.0;14.3;14.7;3.3;1.7;2.0;19.8;9.0;10.5;30.6;14.6;17.1
"....Sarangani b/";13970;16295;16824;30.8;21.8;19.0;18.9;14.1;10.7;5.8;3.1;2.0;21.2;16.8;15.7;40.4;26.9;22.3
"....South Cotabato 1/, b/, c/";14884;17629;17010;10.0;5.9;6.2;19.5;22.2;16.4;2.0;1.3;1.0;6.8;3.8;4.5;13.2;8.1;7.9
"....Sultan Kudarat 1/, b/";14816;16576;17633;33.1;13.2;13.2;22.6;16.3;14.7;7.5;2.1;1.9;20.8;9.6;10.0;45.3;16.7;16.4
"....Cotabato City a/, b/";17854;21152;23665;20.6;14.1;16.5;28.9;12.6;10.9;5.9;1.8;1.8;10.8;11.2;13.6;30.4;17.0;19.5
"..Region XIII (Caraga) 1/, 2/";15913;17661;19079;17.5;10.0;12.8;9.1;6.4;6.0;1.6;0.6;0.8;14.9;9.0;11.5;20.1;11.1;14.1
"....Agusan del Norte 1/, 2/, b/";14377;16538;19375;13.6;8.3;11.8;18.9;10.7;8.8;2.6;0.9;1.0;9.4;6.8;10.1;17.8;9.8;13.5
"....Agusan del Sur 1/";16098;17187;19399;23.7;12.9;17.2;18.1;13.3;10.1;4.3;1.7;1.7;16.7;10.1;14.3;30.8;15.7;20.0
"....Surigao Del Norte b/";17198;19741;18445;16.7;11.1;10.6;18.8;12.7;19.1;3.1;1.4;2.0;11.5;8.8;7.2;21.9;13.4;13.9
"....Surigao Del Sur 1/";15913;17334;18358;16.7;7.9;10.8;17.3;13.6;15.5;2.9;1.1;1.7;11.9;6.1;8.1;21.4;9.6;13.6
"....Dinagat Islands b/";16939;18418;20772;15.9;9.9;12.8;25.6;18.7;22.0;4.1;1.9;2.8;9.2;6.8;8.2;22.5;12.9;17.5
"....Basilan 1/, 2/, b/";15009;18818;18648;13.1;42.4;23.9;24.2;6.7;10.5;3.2;2.9;2.5;7.9;37.7;19.7;18.3;47.1;28.0
"....Lanao del Sur 1/, 2/, d/";17041;20396;20379;48.7;38.3;0.4;11.3;6.6;43.0;5.5;2.5;0.2;39.7;34.2;0.1;57.8;42.5;0.7
"....Maguindanao 2/";14276;17739;17710;24.4;20.2;12.4;15.5;11.9;15.6;3.8;2.4;1.9;18.1;16.3;9.2;30.6;24.2;15.6
"....Sulu 1/, 2/";16205;20340;22224;17.4;41.6;24.2;17.9;5.1;10.5;3.1;2.1;2.5;12.3;38.1;20.0;22.5;45.1;28.4
"....Tawi-tawi 1/, 2/, b/";12289;15028;18399;0.5;3.4;10.1;99.3;18.4;14.6;0.5;0.6;1.5;0.0;2.3;7.6;1.3;4.4;12.5
