"Table 1. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation","Annual Per Capita Poverty Threshold  (in PhP) 2015","Annual Per Capita Poverty Threshold  (in PhP) 2018","Annual Per Capita Poverty Threshold  (in PhP) 2021p","Poverty Incidence among Families (%) 2015","Poverty Incidence among Families (%) 2018","Poverty Incidence among Families (%) 2021p","Coefficient of Variation 2015","Coefficient of Variation 2018","Coefficient of Variation 2021p","Standard Error 2015","Standard Error 2018","Standard Error 2021p","90% Confidence Interval (Lower Limit) 2015","90% Confidence Interval (Lower Limit) 2018","90% Confidence Interval (Lower Limit) 2021p","90% Confidence Interval (Upper Limit) 2015","90% Confidence Interval (Upper Limit) 2018","90% Confidence Interval (Upper Limit) 2021p"
"....1st District b/, c/, d/",25188,28682,32978,3.6,1.9,1.1,25.4,30.8,32.9,0.9,0.6,0.4,2.1,1.0,0.5,5.1,2.9,1.6
"....2nd District b/, c/",25188,28682,32978,1.9,1.4,1.6,20.6,20.1,15.9,0.4,0.3,0.3,1.3,1.0,1.2,2.6,1.9,2.1
"....3rd District 2/, b/",25188,28682,32978,3.4,2.2,3.3,21.0,13.8,10.8,0.7,0.3,0.4,2.2,1.7,2.7,4.6,2.7,3.9
"....4th District 1/, 2/",25188,28682,32978,3.1,0.7,2.5,19.6,14.5,9.0,0.6,0.1,0.2,2.1,0.5,2.2,4.1,0.9,2.9
"....Abra",21294,23596,29321,19.9,14.7,15.8,14.8,8.6,9.6,2.9,1.3,1.5,15.1,12.6,13.3,24.7,16.7,18.3
"....Apayao 1/, 2/, b/, d/",23310,23135,25694,38.1,16.0,4.7,24.5,13.8,22.9,9.3,2.2,1.1,22.7,12.3,2.9,53.4,19.6,6.4
"....Benguet 1/, b/",21935,24158,27519,2.6,4.2,3.9,22.7,14.1,10.9,0.6,0.6,0.4,1.6,3.3,3.2,3.6,5.2,4.6
"....Ifugao 1/, 2/",25133,26429,28734,34.9,9.9,6.0,20.0,15.1,18.2,7.0,1.5,1.1,23.5,7.5,4.2,46.4,12.4,7.8
"....Kalinga 1/, 2/",21267,24219,25447,34.5,9.2,5.6,16.3,12.5,18.7,5.6,1.1,1.0,25.2,7.3,3.9,43.7,11.1,7.3
"....Mt. Province 1/",24536,27815,31063,33.1,17.1,15.3,17.3,10.3,10.5,5.7,1.8,1.6,23.7,14.2,12.6,42.6,20.0,17.9
"....Ilocos Norte b/, c/, d/",23505,26711,31031,5.2,3.1,1.7,33.6,22.2,28.4,1.8,0.7,0.5,2.3,2.0,0.9,8.1,4.2,2.6
"....Ilocos Sur 1/, 2/, b/",23555,24603,32752,10.8,5.5,11.5,24.4,14.6,10.4,2.6,0.8,1.2,6.5,4.1,9.5,15.1,6.8,13.5
"....La Union 1/, 2/, b/",21893,22456,27909,13.5,2.9,6.6,20.4,19.6,13.3,2.8,0.6,0.9,9.0,1.9,5.2,18.1,3.8,8.1
"....Pangasinan 1/, 2/",22799,27828,31240,16.9,9.3,13.9,9.8,12.0,8.7,1.7,1.1,1.2,14.2,7.5,11.9,19.7,11.2,15.8
"....Batanes 1/, 2/, a/, d/",31422,37540,35550,10.0,6.5,2.6,0.0,15.9,27.5,0.0,1.0,0.7,10.0,4.8,1.4,10.0,8.2,3.7
