"Table 2. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2015";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021p";"Poverty Incidence among Population (%) 2015";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021p";"Coefficient of Variation 2015";"Coefficient of Variation 2018";"Coefficient of Variation 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District b/, c/, d/";25188;28682;32978;5;3;2;27;30;33;1;1;1;3;2;1;8;4;3
"....2nd District b/, c/";25188;28682;32978;3;2;3;20;23;16;1;1;0;2;1;2;4;3;4
"....3rd District 2/, b/";25188;28682;32978;4;3;5;21;15;11;1;0;1;3;2;4;6;4;6
"....4th District 1/, 2/";25188;28682;32978;5;1;4;19;15;9;1;0;0;3;1;3;6;1;5
"....Abra 1/";21294;23596;29321;29;19;22;13;8;9;4;2;2;23;16;18;35;21;25
"....Apayao 1/, 2/, b/, d/";23310;23135;25694;43;20;7;22;14;21;9;3;1;28;15;4;59;24;9
"....Benguet 1/, b/";21935;24158;27519;4;6;6;23;14;11;1;1;1;2;5;5;5;7;7
"....Ifugao 1/, 2/";25133;26429;28734;42;15;8;19;14;18;8;2;1;29;11;6;56;18;10
"....Kalinga 1/, 2/";21267;24219;25447;41;12;8;14;13;19;6;2;2;32;10;6;50;15;11
"....Mt. Province 1/";24536;27815;31063;45;25;22;14;10;9;6;2;2;35;21;19;55;29;26
"....Ilocos Norte 2/, b/, c/, d/";23505;26711;31031;8;4;3;33;20;26;3;1;1;4;3;1;12;6;4
"....Ilocos Sur 1/, 2/, b/";23555;24603;32752;14;7;15;20;15;10;3;1;2;9;6;12;19;9;18
"....La Union 1/, 2/, c/";21893;22456;27909;18;4;9;20;20;13;3;1;1;12;3;7;23;6;11
"....Pangasinan 1/, 2/";22799;27828;31240;23;13;18;10;11;8;2;1;1;19;11;15;26;15;20
"....Batanes 1/, 2/, a/, d/";31422;37540;35550;14;10;3;0;17;28;0;2;1;14;7;2;14;12;5
"....Cagayan 2/";21479;24759;26954;17;16;10;13;9;13;2;2;1;13;14;8;20;18;12
"....Isabela";23365;25460;29452;18;17;20;11;10;9;2;2;2;15;14;17;21;20;23
"....Nueva Vizcaya b/";23250;24857;25514;15;16;15;24;13;13;4;2;2;9;13;12;21;19;19
"....Quirino 1/, 2/, b/";21602;23580;27060;28;13;9;28;11;14;8;1;1;15;10;7;41;15;11
"....Aurora 1/, 2/, a/";22665;25219;30282;34;16;22;13;11;11;5;2;2;26;13;18;41;19;25
"....Bataan 1/, 2/, b/";23127;29496;31046;1;8;12;97;14;10;1;1;1;0;6;10;3;10;14
"....Bulacan 2/, b/";21181;27244;33591;4;5;11;23;19;15;1;1;2;3;3;8;6;7;14
"....Nueva Ecija 1/, 2/";23006;25466;29751;21;9;14;12;13;12;2;1;2;17;7;11;25;10;17
"....Pampanga 2/, b/, c/";21686;26633;33122;5;3;5;22;25;17;1;1;1;3;2;4;6;4;6
"....Tarlac 1/";22344;25386;29704;17;10;12;14;11;10;2;1;1;13;9;10;21;12;14
"....Zambales 2/";26983;29977;33383;17;15;24;19;10;7;3;2;2;12;13;22;22;18;27
"....Batangas 1/, 2/";30086;33068;30828;22;11;6;12;11;19;3;1;1;18;9;4;27;14;8
"....Cavite 1/, 2/";27394;29157;35843;9;5;10;17;18;15;2;1;1;6;4;8;12;7;13
"....Laguna 2/, b/";21278;23688;29892;5;4;10;24;20;14;1;1;1;3;3;7;7;5;12
"....Quezon 1/, 2/";20962;22805;27151;24;13;22;13;14;10;3;2;2;19;10;18;30;17;25
"....Rizal 2/";25126;28647;32217;6;4;7;18;18;18;1;1;1;4;3;5;8;6;9
"....Marinduque 2/, b/";19951;24054;26959;17;15;22;27;10;8;5;1;2;9;12;19;24;17;25
"....Occidental Mindoro 1/, 2/";20064;21341;26661;42;22;30;19;12;8;8;3;2;29;17;26;54;26;34
"....Oriental Mindoro 1/, 2/";20345;24470;26265;22;11;18;19;18;14;4;2;2;16;8;14;29;14;22
"....Palawan b/";19709;23425;24127;18;12;14;21;12;11;4;1;1;12;10;11;24;15;16
"....Romblon 1/, 2/";21897;24087;28749;39;28;40;13;8;5;5;2;2;30;24;37;47;32;44
"....Albay";22328;24902;27346;26;21;20;12;10;10;3;2;2;21;18;17;32;25;24
