"Table 12. Severity of Poverty with Measures of Precision, by Region and Province: 2015, 2018, and 2021p"

"Geolocation";"Severity of Poverty (%) 2015";"Severity of Poverty (%) 2018";"Severity of Poverty (%) 2021p";"Standard Error 2015";"Standard Error 2018";"Standard Error 2021p";"90% Confidence Interval (Lower Limit) 2015";"90% Confidence Interval (Lower Limit) 2018";"90% Confidence Interval (Lower Limit) 2021p";"90% Confidence Interval (Upper Limit) 2015";"90% Confidence Interval (Upper Limit) 2018";"90% Confidence Interval (Upper Limit) 2021p"
"....1st District 2/";0.3;0.1;0.0;0.1;0.0;0.0;0.1;0.1;0.0;0.4;0.2;0.0
"....2nd District";0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1
"....3rd District";0.1;0.1;0.1;0.0;0.0;0.0;0.1;0.0;0.1;0.2;0.2;0.1
"....4th District 1/, 2/";0.2;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0.1;0.2;0.0;0.1
"....Abra";1.1;1.1;0.9;0.3;0.2;0.2;0.6;0.9;0.7;1.5;1.4;1.2
"....Apayao 2/";2.9;1.0;0.2;1.3;0.2;0.1;0.7;0.7;0.1;5.0;1.3;0.3
"....Benguet 1/";0.1;0.3;0.2;0.0;0.1;0.0;0.0;0.2;0.2;0.1;0.4;0.3
"....Ifugao 1/";3.7;0.4;0.3;1.3;0.1;0.1;1.6;0.2;0.1;5.8;0.6;0.4
"....Kalinga 1/";3.3;0.5;0.3;0.8;0.1;0.1;1.9;0.3;0.2;4.6;0.6;0.5
"....Mt. Province 1/, 2/";2.9;1.3;0.9;0.8;0.2;0.1;1.6;1.0;0.7;4.2;1.6;1.1
"....Ilocos Norte";0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.2;0.1;0.1
"....Ilocos Sur 1/, 2/";0.5;0.2;0.8;0.1;0.0;0.1;0.3;0.1;0.6;0.7;0.3;1.0
"....La Union 1/, 2/";1.3;0.1;0.3;0.5;0.0;0.1;0.5;0.0;0.2;2.1;0.1;0.4
"....Pangasinan 1/, 2/";1.0;0.4;1.0;0.2;0.1;0.1;0.7;0.3;0.8;1.2;0.6;1.2
"....Batanes 1/, 2/, a/";0.0;0.3;0.1;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.4;0.1
"....Cagayan 2/";0.8;0.7;0.4;0.1;0.1;0.1;0.6;0.5;0.2;1.1;0.8;0.5
"....Isabela 1/";0.5;0.8;1.1;0.1;0.1;0.2;0.4;0.6;0.8;0.6;0.9;1.4
"....Nueva Vizcaya";0.7;0.7;0.8;0.2;0.1;0.2;0.3;0.5;0.4;1.0;0.9;1.1
"....Quirino 1/, 2/";1.2;0.4;0.2;0.4;0.1;0.0;0.5;0.3;0.2;1.8;0.5;0.3
"....Aurora 1/, 2/, a/";2.7;0.6;1.1;0.1;0.1;0.2;2.5;0.4;0.8;2.9;0.8;1.4
"....Bataan 1/";0.0;0.3;0.5;0.0;0.1;0.1;0.0;0.2;0.3;0.1;0.5;0.7
"....Bulacan 2/";0.2;0.2;0.5;0.0;0.1;0.1;0.1;0.1;0.3;0.2;0.3;0.7
"....Nueva Ecija 1/";1.0;0.3;0.4;0.3;0.1;0.1;0.6;0.2;0.3;1.5;0.4;0.6
"....Pampanga";0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.2;0.1
"....Tarlac 1/";0.9;0.3;0.5;0.2;0.1;0.1;0.6;0.2;0.4;1.2;0.4;0.6
"....Zambales";0.9;0.9;1.3;0.3;0.2;0.2;0.4;0.6;1.0;1.4;1.2;1.5
"....Batangas 1/, 2/";1.6;0.4;0.2;0.3;0.1;0.0;1.1;0.3;0.1;2.1;0.5;0.3
"....Cavite";0.3;0.2;0.4;0.1;0.1;0.1;0.2;0.1;0.2;0.5;0.4;0.6
"....Laguna 2/";0.2;0.1;0.4;0.1;0.0;0.1;0.1;0.0;0.3;0.3;0.1;0.6
"....Quezon 1/, 2/";1.4;0.6;1.2;0.3;0.1;0.2;0.9;0.4;0.9;1.8;0.8;1.5
"....Rizal";0.2;0.2;0.2;0.1;0.1;0.0;0.1;0.1;0.1;0.3;0.3;0.2
"....Marinduque";0.6;0.7;0.8;0.2;0.1;0.1;0.3;0.5;0.6;1.0;0.9;1.0
"....Occidental Mindoro 1/, 2/";3.8;1.5;2.3;0.8;0.3;0.3;2.4;1.0;1.7;5.1;2.0;2.9
