"Summary of Core ICT Indicators for Establishments Under Business Process Management (BPM) Activities: Philippines"

"Geolocation","Industry Description","Number of establishments 2013","Number of establishments 2015","Number of establishments 2017","Establishments with computers and communication equipment 2013","Establishments with computers and communication equipment 2015","Establishments with computers and communication equipment 2017","Establishments with internet access 2013","Establishments with internet access 2015","Establishments with internet access 2017","Number of employees 2013","Number of employees 2015","Number of employees 2017","Employees using computer routinely at work 2013","Employees using computer routinely at work 2015","Employees using computer routinely at work 2017","Employees using computer with internet connection routinely at work 2013","Employees using computer with internet connection routinely at work 2015","Employees using computer with internet connection routinely at work 2017","Establishments with web presence 2013","Establishments with web presence 2015","Establishments with web presence 2017","Establishments with intranet 2013","Establishments with intranet 2015","Establishments with intranet 2017","Establishments with extranet 2013","Establishments with extranet 2015","Establishments with extranet 2017","Establishments with wired local area network 2013","Establishments with wired local area network 2015","Establishments with wired local area network 2017","Establishments with wireless local area network 2013","Establishments with wireless local area network 2015","Establishments with wireless local area network 2017","Establishments with wide area network 2013","Establishments with wide area network 2015","Establishments with wide area network 2017","Establishments with e-commerce via the internet 2013","Establishments with e-commerce via the internet 2015","Establishments with e-commerce via the internet 2017","Establishments with e-commerce via network channels other than the internet 2013","Establishments with e-commerce via network channels other than the internet 2015","Establishments with e-commerce via network channels other than the internet 2017","Establishments with business transaction via cellular mobile phone/ smartphone 2013","Establishments with business transaction via cellular mobile phone/ smartphone 2015","Establishments with business transaction via cellular mobile phone/ smartphone 2017","Establishments which used the internet for finance accounting and auditing 2013","Establishments which used the internet for finance accounting and auditing 2015","Establishments which used the internet for finance accounting and auditing 2017","Establishments which used the internet for internal or external recruitment 2013","Establishments which used the internet for internal or external recruitment 2015","Establishments which used the internet for internal or external recruitment 2017","Establishments which used the internet for staff training 2013","Establishments which used the internet for staff training 2015","Establishments which used the internet for staff training 2017","Establishments which used the internet for sharing or distribution of information within the establishment 2013","Establishments which used the internet for sharing or distribution of information within the establishment 2015","Establishments which used the internet for sharing or distribution of information within the establishment 2017","Establishments which used the internet for sharing or distribution of information with other organizations 2013","Establishments which used the internet for sharing or distribution of information with other organizations 2015","Establishments which used the internet for sharing or distribution of information with other organizations 2017","Establishments which used the internet for obtaining information from other organizations 2013","Establishments which used the internet for obtaining information from other organizations 2015","Establishments which used the internet for obtaining information from other organizations 2017","Establishments which used the internet for obtaining information from government organizations 2013","Establishments which used the internet for obtaining information from government organizations 2015","Establishments which used the internet for obtaining information from government organizations 2017","Establishments which used the internet for downloading or requesting government forms 2013","Establishments which used the internet for downloading or requesting government forms 2015","Establishments which used the internet for downloading or requesting government forms 2017","Establishments which used the internet for completing forms on-line or sending completed forms 2013","Establishments which used the internet for completing forms on-line or sending completed forms 2015","Establishments which used the internet for completing forms on-line or sending completed forms 2017","Establishments which used the internet for making on-line payments to government corporations 2013","Establishments which used the internet for making on-line payments to government corporations 2015","Establishments which used the internet for making on-line payments to government corporations 2017","Establishments which used the internet for sending or receiving e-mails 2013","Establishments which used the internet for sending or receiving e-mails 2015","Establishments which used the internet for sending or receiving e-mails 2017","Establishments with Social Media Account 2013","Establishments with Social Media Account 2015","Establishments with Social Media Account 2017"
"..National Capital Region (NCR)","Business Process Management",1060.0,..,1075.0,100.0,..,100.0,99.9,..,99.9,334392.0,..,463532.0,92.3,..,96.2,89.2,..,94.3,59.1,..,60.8,55.5,..,60.6,23.7,..,21.2,51.7,..,91.0,44.1,..,78.2,39.7,..,42.4,12.7,..,24.0,3.5,..,3.7,12.7,..,31.5,45.1,..,69.3,67.2,..,73.4,49.0,..,64.6,75.0,..,70.6,54.8,..,63.1,59.4,..,72.3,85.4,..,85.4,85.0,..,87.9,64.0,..,82.4,45.4,..,71.3,..,..,83.6,..,..,46.1
"..National Capital Region (NCR)","..Software publishing",17.0,..,4.0,100.0,..,100.0,100.0,..,100.0,924.0,..,1381.0,92.6,..,99.7,92.6,..,99.7,64.7,..,100.0,41.2,..,50.0,17.7,..,25.0,29.4,..,75.0,35.3,..,100.0,23.5,..,25.0,11.8,..,25.0,0.0,..,0.0,0.0,..,50.0,41.2,..,100.0,52.9,..,75.0,41.2,..,75.0,88.2,..,100.0,52.9,..,75.0,64.7,..,75.0,70.6,..,75.0,70.6,..,75.0,58.8,..,75.0,29.4,..,75.0,..,..,75.0,..,..,50.0
"..National Capital Region (NCR)","..Other publishing activities",17.0,..,11.0,100.0,..,100.0,100.0,..,100.0,451.0,..,1075.0,86.5,..,97.6,83.8,..,97.6,52.9,..,72.7,23.5,..,27.3,0.0,..,0.0,23.5,..,81.8,23.5,..,63.6,5.9,..,18.2,0.0,..,45.5,0.0,..,0.0,5.9,..,27.3,17.7,..,54.5,23.5,..,45.5,17.7,..,36.4,47.1,..,54.5,35.3,..,36.4,58.8,..,72.7,70.6,..,100.0,76.5,..,81.8,41.2,..,72.7,35.3,..,54.5,..,..,72.7,..,..,72.7
"..National Capital Region (NCR)","..Motion picture, video and television programme activities",27.0,..,11.0,100.0,..,100.0,100.0,..,100.0,783.0,..,907.0,89.7,..,98.6,86.3,..,67.6,40.7,..,63.6,29.6,..,27.3,0.0,..,0.0,18.5,..,100.0,14.8,..,45.5,18.5,..,9.1,3.7,..,27.3,0.0,..,9.1,7.4,..,18.2,25.9,..,45.5,33.3,..,54.5,7.4,..,9.1,55.6,..,27.3,44.4,..,45.5,59.3,..,54.5,81.5,..,72.7,85.2,..,90.9,59.3,..,81.8,40.7,..,72.7,..,..,90.9,..,..,63.6
"..National Capital Region (NCR)","..Motion picture, video and television programme post-production activities",21.0,..,6.0,100.0,..,100.0,100.0,..,100.0,1138.0,..,229.0,91.1,..,94.3,66.9,..,60.3,66.7,..,50.0,42.9,..,66.7,4.8,..,16.7,47.6,..,100.0,38.1,..,66.7,9.5,..,16.7,0.0,..,50.0,0.0,..,0.0,19.1,..,16.7,9.5,..,66.7,52.4,..,66.7,9.5,..,50.0,61.9,..,50.0,47.6,..,50.0,47.6,..,66.7,76.2,..,83.3,81.0,..,100.0,66.7,..,100.0,23.8,..,83.3,..,..,100.0,..,..,100.0
"..National Capital Region (NCR)","..Computer programming activities",426.0,..,427.0,100.0,..,100.0,100.0,..,100.0,32295.0,..,35842.0,94.0,..,97.2,91.1,..,95.2,64.6,..,74.7,50.9,..,51.5,18.3,..,11.9,32.6,..,87.8,31.0,..,74.2,30.8,..,27.2,14.6,..,33.0,3.5,..,4.9,16.2,..,27.9,39.9,..,63.5,67.8,..,67.9,46.0,..,59.5,82.2,..,67.7,54.2,..,61.4,58.0,..,72.1,86.9,..,84.8,85.7,..,86.2,57.5,..,81.3,43.0,..,68.4,..,..,89.7,..,..,48.9
"..National Capital Region (NCR)","..Computer consultancy and computer facilities management activities",73.0,..,91.0,100.0,..,100.0,100.0,..,100.0,10919.0,..,13940.0,93.2,..,94.8,90.2,..,94.2,69.9,..,76.9,49.3,..,57.1,20.6,..,17.6,23.3,..,85.7,21.9,..,76.9,42.5,..,39.6,26.0,..,37.4,11.0,..,5.5,21.9,..,36.3,52.1,..,53.8,68.5,..,64.8,48.0,..,59.3,72.6,..,59.3,57.5,..,62.6,60.3,..,68.1,93.2,..,87.9,87.7,..,86.8,67.1,..,82.4,64.4,..,72.5,..,..,81.3,..,..,38.5
"..National Capital Region (NCR)","..Other information technology and computer service activities",75.0,..,60.0,100.0,..,100.0,100.0,..,100.0,3695.0,..,4191.0,86.2,..,90.9,85.7,..,89.1,50.7,..,55.0,33.3,..,46.7,10.7,..,10.0,29.3,..,90.0,13.3,..,78.3,18.7,..,26.7,14.7,..,16.7,2.7,..,0.0,16.0,..,23.3,33.3,..,65.0,49.3,..,65.0,40.0,..,60.0,65.3,..,60.0,45.3,..,46.7,40.0,..,58.3,85.3,..,86.7,76.0,..,83.3,49.3,..,75.0,45.3,..,63.3,..,..,81.7,..,..,25.0
"..National Capital Region (NCR)","..Data processing",43.0,..,39.0,100.0,..,100.0,100.0,..,100.0,10706.0,..,10107.0,93.7,..,97.6,89.6,..,92.6,39.5,..,51.3,51.2,..,64.1,30.2,..,7.7,39.5,..,84.6,27.9,..,69.2,44.2,..,56.4,7.0,..,23.1,0.0,..,0.0,9.3,..,7.7,30.2,..,71.8,60.5,..,69.2,55.8,..,61.5,79.1,..,66.7,53.5,..,64.1,62.8,..,69.2,79.1,..,71.8,83.7,..,82.1,58.1,..,76.9,39.5,..,74.4,..,..,87.2,..,..,30.8
"..National Capital Region (NCR)","..Website hosting services",17.0,..,19.0,100.0,..,100.0,100.0,..,94.7,434.0,..,484.0,93.8,..,97.5,93.8,..,88.8,64.7,..,47.4,41.2,..,15.8,0.0,..,5.3,23.5,..,78.9,41.2,..,84.2,11.8,..,31.6,0.0,..,15.8,0.0,..,0.0,0.0,..,15.8,17.7,..,33.3,52.9,..,27.8,52.9,..,72.2,52.9,..,38.9,41.2,..,44.4,47.1,..,66.7,70.6,..,83.3,88.2,..,88.9,41.2,..,83.3,35.3,..,72.2,..,..,77.8,..,..,36.8
