"Summary of Core ICT Indicators for Establishments Under Information Economy: Philippines"

"Geolocation";"Industry Description";"Number of establishments 2010";"Number of establishments 2013";"Number of establishments 2015";"Number of establishments 2017";"Establishments with computers and communication equipment 2010";"Establishments with computers and communication equipment 2013";"Establishments with computers and communication equipment 2015";"Establishments with computers and communication equipment 2017";"Establishments with internet access 2010";"Establishments with internet access 2013";"Establishments with internet access 2015";"Establishments with internet access 2017";"Number of employees 2010";"Number of employees 2013";"Number of employees 2015";"Number of employees 2017";"Employees using computer routinely at work 2010";"Employees using computer routinely at work 2013";"Employees using computer routinely at work 2015";"Employees using computer routinely at work 2017";"Employees using computer with internet connection routinely at work 2010";"Employees using computer with internet connection routinely at work 2013";"Employees using computer with internet connection routinely at work 2015";"Employees using computer with internet connection routinely at work 2017";"Establishments with web presence 2010";"Establishments with web presence 2013";"Establishments with web presence 2015";"Establishments with web presence 2017";"Establishments with intranet 2010";"Establishments with intranet 2013";"Establishments with intranet 2015";"Establishments with intranet 2017";"Establishments with extranet 2010";"Establishments with extranet 2013";"Establishments with extranet 2015";"Establishments with extranet 2017";"Establishments with wired local area network 2010";"Establishments with wired local area network 2013";"Establishments with wired local area network 2015";"Establishments with wired local area network 2017";"Establishments with wireless local area network 2010";"Establishments with wireless local area network 2013";"Establishments with wireless local area network 2015";"Establishments with wireless local area network 2017";"Establishments with wide area network 2010";"Establishments with wide area network 2013";"Establishments with wide area network 2015";"Establishments with wide area network 2017";"Establishments with e-commerce via the internet 2010";"Establishments with e-commerce via the internet 2013";"Establishments with e-commerce via the internet 2015";"Establishments with e-commerce via the internet 2017";"Establishments with e-commerce via network channels other than the internet 2010";"Establishments with e-commerce via network channels other than the internet 2013";"Establishments with e-commerce via network channels other than the internet 2015";"Establishments with e-commerce via network channels other than the internet 2017";"Establishments with business transaction via cellular mobile phone/ smartphone 2010";"Establishments with business transaction via cellular mobile phone/ smartphone 2013";"Establishments with business transaction via cellular mobile phone/ smartphone 2015";"Establishments with business transaction via cellular mobile phone/ smartphone 2017";"Establishments which used the internet for finance accounting and auditing 2010";"Establishments which used the internet for finance accounting and auditing 2013";"Establishments which used the internet for finance accounting and auditing 2015";"Establishments which used the internet for finance accounting and auditing 2017";"Establishments which used the internet for internal or external recruitment 2010";"Establishments which used the internet for internal or external recruitment 2013";"Establishments which used the internet for internal or external recruitment 2015";"Establishments which used the internet for internal or external recruitment 2017";"Establishments which used the internet for staff training 2010";"Establishments which used the internet for staff training 2013";"Establishments which used the internet for staff training 2015";"Establishments which used the internet for staff training 2017";"Establishments which used the internet for sharing or distribution of information within the establishment 2010";"Establishments which used the internet for sharing or distribution of information within the establishment 2013";"Establishments which used the internet for sharing or distribution of information within the establishment 2015";"Establishments which used the internet for sharing or distribution of information within the establishment 2017";"Establishments which used the internet for sharing or distribution of information with other organizations 2010";"Establishments which used the internet for sharing or distribution of information with other organizations 2013";"Establishments which used the internet for sharing or distribution of information with other organizations 2015";"Establishments which used the internet for sharing or distribution of information with other organizations 2017";"Establishments which used the internet for obtaining information from other organizations 2010";"Establishments which used the internet for obtaining information from other organizations 2013";"Establishments which used the internet for obtaining information from other organizations 2015";"Establishments which used the internet for obtaining information from other organizations 2017";"Establishments which used the internet for obtaining information from government organizations 2010";"Establishments which used the internet for obtaining information from government organizations 2013";"Establishments which used the internet for obtaining information from government organizations 2015";"Establishments which used the internet for obtaining information from government organizations 2017";"Establishments which used the internet for downloading or requesting government forms 2010";"Establishments which used the internet for downloading or requesting government forms 2013";"Establishments which used the internet for downloading or requesting government forms 2015";"Establishments which used the internet for downloading or requesting government forms 2017";"Establishments which used the internet for completing forms on-line or sending completed forms 2010";"Establishments which used the internet for completing forms on-line or sending completed forms 2013";"Establishments which used the internet for completing forms on-line or sending completed forms 2015";"Establishments which used the internet for completing forms on-line or sending completed forms 2017";"Establishments which used the internet for making on-line payments to government corporations 2010";"Establishments which used the internet for making on-line payments to government corporations 2013";"Establishments which used the internet for making on-line payments to government corporations 2015";"Establishments which used the internet for making on-line payments to government corporations 2017";"Establishments which used the internet for sending or receiving emails 2010";"Establishments which used the internet for sending or receiving emails 2013";"Establishments which used the internet for sending or receiving emails 2015";"Establishments which used the internet for sending or receiving emails 2017";"Establishments with Social Media Account 2010";"Establishments with Social Media Account 2013";"Establishments with Social Media Account 2015";"Establishments with Social Media Account 2017"
"..National Capital Region (NCR)";"Information economy";1299.0;1845.0;1766.0;1709.0;98.7;99.3;98.9;99.6;95.0;97.8;98.4;98.5;106733.0;133085.0;136455.0;145914.0;72.9;80.4;84.3;88.3;62.3;74.8;78.7;83.1;48.7;44.9;45.4;55.6;30.9;32.1;35.9;36.5;8.4;10.8;10.2;9.8;23.2;48.9;59.6;79.4;19.0;35.7;46.1;60.9;17.6;21.5;21.7;22.5;24.9;14.7;18.3;26.1;9.4;3.6;1.4;4.0;16.0;19.2;16.2;24.5;31.5;32.9;47.1;52.7;44.0;49.9;50.5;49.0;28.1;32.9;37.2;41.4;65.2;65.7;54.9;52.9;42.5;45.5;45.2;47.4;48.5;51.7;52.0;62.4;66.0;83.1;86.1;82.4;68.3;79.1;81.1;80.6;47.3;60.4;68.0;75.0;29.3;41.4;54.4;60.3;..;..;..;80.1;..;..;..;40.5
"..National Capital Region (NCR)";"..Information and communication technology sector";1019.0;1482.0;1420.0;1370.0;98.8;99.1;99.1;99.6;95.6;98.1;98.6;98.7;89555.0;110939.0;113396.0;124324.0;75.4;83.1;85.8;89.0;65.3;77.9;80.3;83.4;49.0;44.8;46.5;56.3;32.6;34.2;37.6;37.7;9.4;12.4;11.4;10.9;23.1;51.2;59.1;79.9;20.8;37.9;46.4;61.9;18.5;22.6;22.5;23.2;27.0;17.1;17.5;26.1;11.0;4.1;1.4;4.2;16.4;20.2;16.2;25.0;33.4;35.8;47.2;53.3;48.0;52.5;53.6;51.8;31.9;36.3;40.4;44.6;66.7;65.6;56.4;53.6;45.3;45.1;45.4;47.6;50.1;50.3;52.4;61.0;65.9;83.2;86.1;82.0;68.4;78.6;81.9;80.2;47.0;58.9;67.3;73.8;29.1;41.3;55.9;59.7;..;..;..;80.0;..;..;..;37.9
"..National Capital Region (NCR)";"....ICT manufacturing industries";29.0;36.0;27.0;26.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;7996.0;9265.0;6996.0;15076.0;44.7;36.7;37.7;72.5;19.2;35.5;26.6;62.3;37.9;41.7;51.9;53.8;37.9;30.6;33.3;34.6;3.4;19.4;11.1;11.5;31.0;58.3;70.4;73.1;0.0;41.7;59.3;57.7;27.6;33.3;33.3;30.8;13.8;25.0;7.4;34.6;17.2;11.1;3.7;19.2;13.8;16.7;7.4;15.4;48.3;38.9;63.0;53.8;62.1;47.2;51.9;38.5;27.6;33.3;33.3;26.9;51.7;55.6;70.4;73.1;62.1;58.3;40.7;42.3;41.4;44.4;37.0;65.4;82.8;72.2;85.2;76.9;75.9;86.1;92.6;88.5;65.5;69.4;74.1;57.7;48.3;41.7;66.7;53.8;..;..;..;80.8;..;..;..;26.9
"..National Capital Region (NCR)";"....ICT trade industries";249.0;303.0;310.0;291.0;99.2;99.3;98.7;99.7;94.4;95.7;98.1;99.0;9347.0;9579.0;11190.0;12371.0;56.8;60.4;67.4;63.5;49.6;55.1;64.2;57.7;43.0;45.2;53.9;56.7;23.7;22.4;25.5;25.8;6.8;5.3;6.5;8.9;27.3;77.6;73.9;79.0;11.2;56.8;55.8;62.2;15.3;17.5;13.9;13.1;36.5;42.2;10.3;29.6;20.9;8.3;1.6;6.9;29.3;23.8;17.1;28.2;33.6;37.2;34.9;50.0;48.1;48.6;42.8;46.9;29.4;30.3;29.3;34.4;48.1;42.1;43.8;48.6;48.1;43.8;41.1;40.3;55.7;53.8;51.3;61.5;71.5;84.1;85.9;84.4;80.9;82.1;81.2;79.9;55.7;66.9;70.1;73.6;36.6;49.3;55.3;66.7;..;..;..;76.4;..;..;..;33.7
"..National Capital Region (NCR)";"....ICT service industries";741.0;1143.0;1083.0;1053.0;98.7;99.0;99.2;99.5;95.8;98.7;98.7;98.6;72212.0;92095.0;95210.0;96877.0;81.2;90.2;91.5;94.8;72.4;84.6;86.2;89.9;51.4;44.8;44.3;56.2;35.4;37.5;41.2;41.0;10.5;14.0;12.8;11.4;21.3;43.9;54.6;80.3;24.8;32.7;43.4;61.9;19.3;23.6;24.7;25.8;24.3;10.2;19.8;25.0;7.4;2.7;1.3;3.0;12.1;19.3;16.2;24.3;32.7;35.3;50.3;54.2;47.5;53.7;56.8;53.5;33.0;37.9;43.7;47.9;73.5;72.0;59.7;54.4;43.7;45.0;46.7;49.7;48.6;49.6;53.1;60.8;63.4;83.2;86.2;81.5;63.9;77.5;81.9;80.1;43.4;56.6;66.3;74.3;25.8;39.2;55.8;57.9;..;..;..;80.9;..;..;..;39.3
"..National Capital Region (NCR)";"......Software publishing";22.0;17.0;8.0;4.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;1145.0;924.0;1961.0;1381.0;89.9;92.6;95.2;99.7;89.3;92.6;84.9;99.7;59.1;64.7;50.0;100.0;27.3;41.2;50.0;50.0;9.1;17.7;37.5;25.0;13.6;29.4;37.5;75.0;27.3;35.3;37.5;100.0;4.5;23.5;25.0;25.0;31.8;11.8;12.5;25.0;4.5;0.0;0.0;0.0;0.0;0.0;25.0;50.0;36.4;41.2;37.5;100.0;54.5;52.9;62.5;75.0;31.8;41.2;50.0;75.0;81.8;88.2;87.5;100.0;50.0;52.9;50.0;75.0;63.6;64.7;62.5;75.0;63.6;70.6;87.5;75.0;59.1;70.6;75.0;75.0;45.5;58.8;75.0;75.0;31.8;29.4;37.5;75.0;..;..;..;75.0;..;..;..;50.0
"..National Capital Region (NCR)";"......Telecommunication services";211.0;376.0;318.0;305.0;100.0;100.0;99.4;99.3;98.6;99.7;99.1;99.0;31748.0;30585.0;30864.0;29261.0;68.3;86.2;88.7;92.7;56.5;75.7;77.1;81.9;34.1;24.5;24.8;30.2;25.6;25.0;28.9;23.9;5.7;8.2;7.2;7.9;26.1;63.3;67.6;76.4;37.4;38.6;37.4;43.9;15.2;15.2;18.9;18.0;15.6;3.2;7.9;12.5;4.7;1.1;0.3;2.0;9.0;21.8;20.4;17.7;23.6;29.6;38.1;41.4;28.8;39.5;34.9;33.8;19.7;25.9;28.9;28.5;75.5;69.6;46.3;35.1;26.9;35.7;27.9;30.1;33.7;38.1;33.3;43.0;47.1;80.0;83.8;73.2;51.0;70.4;70.8;71.5;33.7;60.8;63.8;68.2;23.6;32.8;47.9;52.3;..;..;..;71.2;..;..;..;26.9
"..National Capital Region (NCR)";"......Computer programming, consultancy & related activities";382.0;574.0;588.0;578.0;100.0;100.0;99.7;100.0;100.0;100.0;99.7;100.0;22138.0;46909.0;52509.0;53973.0;94.1;93.2;93.4;96.1;88.0;90.4;90.9;94.4;66.2;63.4;62.1;73.0;43.2;48.4;49.3;51.9;13.1;17.6;13.1;12.6;19.4;31.0;49.8;87.7;20.2;27.5;47.4;75.1;22.3;30.7;28.1;29.1;30.4;16.0;29.6;32.0;9.9;4.4;2.2;4.5;12.8;16.9;15.0;28.7;38.0;40.6;59.6;62.1;58.4;65.5;71.0;67.1;41.1;45.5;54.1;59.5;75.4;78.8;67.9;65.6;53.1;53.5;57.7;60.0;55.2;55.9;61.8;70.1;69.9;87.5;87.9;85.5;70.7;84.7;88.4;86.0;48.7;57.7;69.8;80.8;27.2;46.0;64.0;68.5;..;..;..;87.5;..;..;..;44.8
"..National Capital Region (NCR)";"......Data processing, hosting & related activities; web portals";66.0;69.0;56.0;61.0;100.0;100.0;100.0;100.0;98.5;100.0;96.4;98.4;16386.0;11871.0;8421.0;10906.0;89.7;91.2;94.5;97.7;82.6;87.5;94.2;92.6;43.9;46.4;44.6;49.2;40.9;49.3;55.4;49.2;19.7;23.2;23.2;6.6;22.7;33.3;44.6;82.0;28.8;34.8;42.9;75.4;31.8;34.8;39.3;47.5;18.2;4.4;23.2;21.3;3.0;0.0;0.0;0.0;13.6;7.3;7.1;13.1;32.3;29.0;46.3;61.7;41.5;56.5;63.0;58.3;30.8;56.5;46.3;65.0;73.8;75.4;63.0;60.0;40.0;50.7;57.4;60.0;52.3;60.9;61.1;70.0;63.1;78.3;81.5;75.0;55.4;85.5;90.7;83.3;41.5;53.6;53.7;78.3;23.1;42.0;51.9;73.3;..;..;..;85.0;..;..;..;34.4
"..National Capital Region (NCR)";"......Repair of computers & communications equipment";60.0;107.0;113.0;105.0;83.3;89.7;95.6;97.1;55.0;86.9;93.8;89.5;795.0;1806.0;1455.0;1356.0;47.8;70.9;63.6;59.6;43.0;58.9;60.4;52.2;23.3;12.2;6.2;41.9;16.7;14.0;25.7;25.7;1.7;8.4;20.4;17.1;18.3;54.2;48.7;50.5;5.0;38.3;39.8;32.4;6.7;8.4;16.8;18.1;20.0;7.5;0.9;24.8;6.7;1.9;0.0;0.0;21.7;34.6;14.2;24.8;27.3;29.0;38.7;40.4;45.5;36.6;39.6;28.7;27.3;25.8;28.3;26.6;33.3;34.4;50.0;42.6;42.4;24.7;35.8;41.5;48.5;45.2;59.4;54.3;90.9;76.3;85.8;88.3;87.9;57.0;74.5;69.1;45.5;34.4;60.4;51.1;24.2;22.6;37.7;0.0;..;..;..;69.1;..;..;..;47.6
