"Summary of Core ICT Indicators for Establishments Under Non-Core ICT Industries: Philippines"

"Industry Description","Number of establishments 2010","Number of establishments 2013","Number of establishments 2015","Number of establishments 2017","Establishments with computers and communication equipment 2010","Establishments with computers and communication equipment 2013","Establishments with computers and communication equipment 2015","Establishments with computers and communication equipment 2017","Establishments with internet access 2010","Establishments with internet access 2013","Establishments with internet access 2015","Establishments with internet access 2017","Number of employees 2010","Number of employees 2013","Number of employees 2015","Number of employees 2017","Employees using computer routinely at work 2010","Employees using computer routinely at work 2013","Employees using computer routinely at work 2015","Employees using computer routinely at work 2017","Employees using computer with internet connection routinely at work 2010","Employees using computer with internet connection routinely at work 2013","Employees using computer with internet connection routinely at work 2015","Employees using computer with internet connection routinely at work 2017","Establishments with web presence 2010","Establishments with web presence 2013","Establishments with web presence 2015","Establishments with web presence 2017","Establishments with intranet 2010","Establishments with intranet 2013","Establishments with intranet 2015","Establishments with intranet 2017","Establishments with extranet 2010","Establishments with extranet 2013","Establishments with extranet 2015","Establishments with extranet 2017","Establishments with wired local area network 2010","Establishments with wired local area network 2013","Establishments with wired local area network 2015","Establishments with wired local area network 2017","Establishments with wireless local area network 2010","Establishments with wireless local area network 2013","Establishments with wireless local area network 2015","Establishments with wireless local area network 2017","Establishments with wide area network 2010","Establishments with wide area network 2013","Establishments with wide area network 2015","Establishments with wide area network 2017","Establishments with e-commerce via the internet 2010","Establishments with e-commerce via the internet 2013","Establishments with e-commerce via the internet 2015","Establishments with e-commerce via the internet 2017","Establishments with e-commerce via network channels other than the internet 2010","Establishments with e-commerce via network channels other than the internet 2013","Establishments with e-commerce via network channels other than the internet 2015","Establishments with e-commerce via network channels other than the internet 2017","Establishments with business transaction via cellular mobile phone/ smartphone 2010","Establishments with business transaction via cellular mobile phone/ smartphone 2013","Establishments with business transaction via cellular mobile phone/ smartphone 2015","Establishments with business transaction via cellular mobile phone/ smartphone 2017","Establishments which used the internet for finance accounting and auditing 2010","Establishments which used the internet for finance accounting and auditing 2013","Establishments which used the internet for finance accounting and auditing 2015","Establishments which used the internet for finance accounting and auditing 2017","Establishments which used the internet for internal or external recruitment 2010","Establishments which used the internet for internal or external recruitment 2013","Establishments which used the internet for internal or external recruitment 2015","Establishments which used the internet for internal or external recruitment 2017","Establishments which used the internet for staff training 2010","Establishments which used the internet for staff training 2013","Establishments which used the internet for staff training 2015","Establishments which used the internet for staff training 2017","Establishments which used the internet for sharing or distribution of information within the establishment 2010","Establishments which used the internet for sharing or distribution of information within the establishment 2013","Establishments which used the internet for sharing or distribution of information within the establishment 2015","Establishments which used the internet for sharing or distribution of information within the establishment 2017","Establishments which used the internet for sharing or distribution of information with other organizations 2010","Establishments which used the internet for sharing or distribution of information with other organizations 2013","Establishments which used the internet for sharing or distribution of information with other organizations 2015","Establishments which used the internet for sharing or distribution of information with other organizations 2017","Establishments which used the internet for obtaining information from other organizations 2010","Establishments which used the internet for obtaining information from other organizations 2013","Establishments which used the internet for obtaining information from other organizations 2015","Establishments which used the internet for obtaining information from other organizations 2017","Establishments which used the internet for obtaining information from government organizations 2010","Establishments which used the internet for obtaining information from government organizations 2013","Establishments which used the internet for obtaining information from government organizations 2015","Establishments which used the internet for obtaining information from government organizations 2017","Establishments which used the internet for downloading or requesting government forms 2010","Establishments which used the internet for downloading or requesting government forms 2013","Establishments which used the internet for downloading or requesting government forms 2015","Establishments which used the internet for downloading or requesting government forms 2017","Establishments which used the internet for completing forms on-line or sending completed forms 2010","Establishments which used the internet for completing forms on-line or sending completed forms 2013","Establishments which used the internet for completing forms on-line or sending completed forms 2015","Establishments which used the internet for completing forms on-line or sending completed forms 2017","Establishments which used the internet for making on-line payments to government corporations 2010","Establishments which used the internet for making on-line payments to government corporations 2013","Establishments which used the internet for making on-line payments to government corporations 2015","Establishments which used the internet for making on-line payments to government corporations 2017"
"Philippines",34488.0,33852.0,34065.0,34074.0,92.4,95.7,96.1,98.2,78.3,92.2,93.4,95.3,3644487.0,3662745.0,4119104.0,4373118.0,31.9,35.4,42.0,44.0,20.7,28.5,34.5,37.5,24.7,25.5,32.8,33.2,16.7,23.2,20.1,20.6,4.5,5.3,5.2,4.7,34.4,67.8,65.5,68.1,5.7,43.9,41.6,45.5,10.0,15.3,15.0,14.1,17.1,14.4,14.2,17.7,11.4,6.5,4.9,9.0,29.6,29.9,24.2,38.9,33.8,37.3,44.3,49.7,30.6,36.1,38.2,39.9,16.7,22.7,29.2,25.3,40.6,42.4,46.9,45.1,35.0,35.4,37.2,40.6,51.2,45.1,44.1,61.7,77.1,80.6,81.0,79.6,71.8,78.4,81.3,77.8,53.0,63.5,71.0,71.2,34.8,42.2,55.3,55.9
"..Agriculture, forestry and fishing",744.0,1181.0,1159.0,1252.0,85.7,86.1,84.2,87.4,56.2,74.8,69.2,74.1,135610.0,150753.0,145891.0,145214.0,4.3,5.8,13.1,15.2,2.2,3.4,8.6,13.3,5.4,4.3,5.9,13.0,10.8,11.8,5.0,11.9,2.2,1.1,3.0,3.0,23.9,40.3,36.4,42.0,4.0,29.4,22.7,25.1,6.6,12.6,5.2,6.3,10.4,9.0,11.1,12.1,4.2,6.6,2.7,4.5,41.6,39.2,36.6,41.6,29.5,36.7,26.9,39.0,18.6,19.6,28.2,15.5,17.2,11.1,24.3,17.1,31.0,25.6,45.1,33.7,29.4,18.6,37.6,22.1,37.3,32.6,44.7,46.0,74.3,71.1,75.1,71.3,54.8,69.6,77.5,75.4,39.4,46.5,67.0,66.9,27.8,42.6,46.5,58.8
"..Mining and quarrying",77.0,157.0,134.0,141.0,93.5,85.9,88.3,92.4,87.9,68.1,72.1,88.3,26813.0,34912.0,31354.0,30977.0,17.9,14.6,22.1,27.6,14.7,12.7,17.9,27.0,31.0,14.7,29.1,25.2,26.0,15.3,16.4,18.4,14.5,8.3,8.6,0.0,36.4,48.1,42.2,50.8,2.6,33.4,38.8,45.3,22.5,22.9,24.8,14.2,52.6,3.2,6.2,15.2,17.1,1.9,4.7,0.0,47.6,27.3,37.8,58.4,73.9,39.3,46.9,62.9,49.8,59.4,53.3,30.9,24.6,29.0,29.8,16.9,53.9,52.3,52.4,58.2,52.0,48.5,46.2,47.3,64.8,67.4,47.2,57.0,95.6,77.1,95.9,82.1,87.2,78.9,83.4,91.4,70.9,72.4,74.5,84.2,57.6,53.2,69.8,65.1
"..Manufacturing",16048.0,6544.0,6293.0,6034.0,88.1,93.9,94.3,98.6,71.0,89.5,91.3,93.4,796564.0,851528.0,892657.0,896835.0,17.9,17.8,21.6,21.7,9.8,12.4,15.5,16.6,21.2,21.6,30.2,30.4,13.2,21.8,17.1,19.3,3.8,4.8,2.3,4.5,30.1,65.1,63.9,64.3,4.9,39.7,40.6,47.2,8.1,9.7,10.3,10.2,9.0,25.7,16.6,22.0,11.5,12.8,6.2,11.3,34.1,38.2,32.3,45.9,36.5,38.5,42.9,51.0,33.0,39.4,38.3,37.3,13.4,16.3,17.0,23.1,39.4,34.5,33.4,41.1,35.2,35.6,29.4,35.8,49.3,42.2,39.5,59.2,76.7,83.9,87.7,83.1,74.7,83.9,87.7,83.9,55.0,64.7,77.6,77.0,41.6,48.9,63.5,64.2
"..Electricity, gas, steam and air conditioning supply",203.0,224.0,224.0,236.0,100.0,100.0,100.0,100.0,96.1,100.0,100.0,93.3,47998.0,46424.0,46335.0,46093.0,36.6,46.5,49.1,61.5,18.5,32.9,40.4,46.3,25.1,38.6,63.4,78.1,33.1,35.2,40.0,44.6,8.7,18.1,1.3,6.7,33.0,87.1,91.8,93.3,2.9,78.6,91.4,72.3,18.5,27.1,39.1,27.7,0.0,0.0,11.1,35.3,1.5,0.0,0.0,14.3,0.0,30.0,8.6,35.3,34.4,70.0,57.1,49.8,25.3,48.5,49.8,64.2,30.4,48.5,30.0,25.3,52.6,78.6,60.5,56.0,55.6,74.3,52.3,62.2,75.9,78.1,71.2,77.5,87.9,95.7,99.6,77.5,91.0,91.4,99.6,92.8,77.4,91.4,88.9,82.8,52.1,44.2,47.5,61.4
"..Water supply; sewerage, waste management and remediation activities",256.0,336.0,339.0,348.0,100.0,99.7,100.0,100.0,95.3,96.3,100.0,100.0,28121.0,28473.0,28631.0,28791.0,36.9,63.6,35.1,35.1,14.6,21.4,20.9,32.8,15.6,30.3,73.7,59.5,17.9,18.5,16.4,13.6,8.1,0.6,9.6,0.3,57.5,88.8,99.7,86.9,4.4,47.0,82.8,61.1,5.4,11.2,0.0,13.3,0.0,0.0,33.6,12.4,0.0,0.0,13.3,1.6,0.0,8.2,12.9,41.1,15.3,31.0,34.7,53.5,11.5,27.3,34.7,59.5,16.0,17.2,19.4,41.8,43.2,33.3,34.9,50.7,49.2,31.3,44.5,50.7,70.0,69.2,50.8,86.6,99.0,99.4,97.7,98.8,88.5,92.0,100.0,98.8,74.2,81.5,87.3,98.8,21.4,41.4,49.1,70.6
"..Construction",734.0,1079.0,1122.0,1021.0,96.9,97.9,96.5,100.0,87.8,94.2,91.8,100.0,138705.0,227075.0,273165.0,287593.0,8.7,14.8,17.4,13.5,4.9,12.8,16.1,12.9,20.5,27.8,16.4,36.0,13.9,15.3,11.0,12.3,0.4,4.6,0.1,4.2,40.0,61.6,64.9,78.3,7.2,50.2,37.7,51.8,2.6,8.0,0.9,7.8,30.3,0.0,6.9,11.2,14.6,0.0,0.8,14.3,36.7,10.3,22.5,51.3,38.8,40.9,47.5,61.2,22.7,37.7,33.7,44.9,9.0,10.3,19.9,18.9,41.2,44.5,40.3,50.6,38.3,35.0,31.7,43.3,70.1,50.9,48.8,70.7,84.6,80.0,83.6,84.2,88.0,84.9,88.2,92.9,67.0,71.7,73.4,87.1,50.6,55.5,74.0,73.9
"..Wholesale and retail trade; repair of motor vehicles and motorcycles",4672.0,8335.0,8200.0,8588.0,95.6,94.1,94.8,99.2,81.4,88.8,91.9,95.2,646631.0,426559.0,446114.0,490799.0,27.1,28.6,37.4,34.8,15.4,21.8,31.5,30.0,17.7,17.8,25.1,36.8,18.7,22.2,21.6,24.7,5.2,2.8,3.2,4.4,36.3,61.9,63.3,69.7,6.8,40.3,39.3,43.8,14.1,13.3,16.8,22.7,22.2,4.5,15.5,16.9,13.1,0.5,6.0,10.3,35.8,34.4,30.9,44.5,29.0,37.6,40.3,44.3,30.7,32.4,36.7,35.3,14.4,22.0,25.7,18.9,40.7,38.9,41.2,37.3,33.6,31.9,33.4,32.7,48.9,42.0,36.9,54.7,67.7,76.1,75.0,75.9,69.4,74.2,73.0,73.5,47.0,58.9,68.8,68.9,36.0,43.6,58.6,60.2
"..Transportation and storage",796.0,1116.0,1158.0,1139.0,92.5,100.0,98.4,98.8,85.2,99.9,96.5,98.2,143607.0,145013.0,161673.0,177051.0,27.1,29.4,29.0,30.2,18.4,27.2,27.2,28.6,26.4,31.8,36.1,32.5,21.6,26.5,28.2,24.4,7.4,5.2,13.7,7.2,29.4,64.8,73.1,71.5,10.1,41.7,42.6,50.8,12.4,14.8,15.7,12.2,22.5,24.3,4.7,23.3,8.1,8.6,3.4,10.5,21.7,31.4,21.4,47.5,29.2,41.2,49.2,54.6,30.0,30.0,46.0,42.2,17.5,24.1,27.0,24.7,42.0,48.7,40.0,35.6,33.5,35.7,46.0,38.0,72.1,44.9,53.0,63.4,86.8,80.6,94.1,86.9,79.9,81.7,89.8,84.3,52.2,59.9,77.8,75.7,34.8,38.0,67.9,64.4
"..Accommodation and food service activities",3728.0,5487.0,5493.0,5553.0,95.1,95.4,97.3,95.9,83.3,93.3,97.0,95.0,288973.0,223722.0,268743.0,251114.0,11.9,20.2,20.6,33.9,7.6,14.7,16.6,21.8,32.4,18.2,43.9,34.1,13.9,10.8,11.1,12.1,5.0,3.2,3.7,1.6,43.8,64.9,64.8,48.1,9.3,27.2,30.4,37.1,6.1,19.2,19.6,1.7,49.5,25.9,25.1,15.8,25.2,13.5,6.7,11.8,31.7,33.4,19.9,27.6,45.6,35.4,56.2,51.0,21.4,35.4,32.5,38.2,12.6,25.7,41.6,14.3,31.2,44.7,61.5,40.3,23.7,31.8,39.3,37.8,32.2,39.3,41.0,54.1,63.6,78.4,67.2,69.1,40.6,68.2,76.8,55.7,33.1,57.0,57.1,51.1,21.8,37.3,56.6,57.3
